VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,ASK IF Q1.6.1 = Yes,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX030502_Alcohol_Lifetime_Use_Disorder_Drinks_Less_Effect_Comparison,In your entire life did you EVER find that your usual number of drinks had much less effect on you than it once did?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502010101,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinks_Less_Effect_Comparison_Prior_Last_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.1.1 = Yes,,PhenX,PX030502010102,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinks_Less_Effect_Comparison_Past_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.1.1 = Yes, MARK Yes if Q1.1.2 = No",,PhenX,PX030502010103,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinks_Less_Effect_Comparison_Consume_More,Did you have to drink much more to get an effect or drank the equivalent of a fifth of liquor?,DCW_030502.doc,encoded values,,,,,ASK IF Q1.1.1 = Yes,,PhenX,PX030502010104,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Consume_Much_More,In your entire life did you EVER find that you had to drink much more than you once did to get the effect you wanted?,DCW_030502.doc,encoded values,,,,,MARK Yes IF Q1.1.3=Yes,,PhenX,PX030502010201,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Consume_Much_More_Prior_Last_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.2.1 = Yes,,PhenX,PX030502010202,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Consume_Much_More_Past_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.2.1 = Yes, MARK Yes if Q1.2.2 = No",,PhenX,PX030502010203,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Consume_Much_More_Past_Much_More,Did you have to drink much more to get an effect or drank the equivalent of a fifth of liquor?,DCW_030502.doc,encoded values,,,,,ASK IF Q1.2.1 = Yes,,PhenX,PX030502010204,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Consume_Twenty_Drinks,"In your entire life did you EVER drink as much as a fifth of liquor in one day, that would be about 20 drinks, or 3 bottles of wine, or as much as 3 six-packs of beer in a single day?",DCW_030502.doc,encoded values,,,,,MARK Yes IF Q1.2.3=Yes,,PhenX,PX030502010301,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Consume_Twenty_Drinks_Prior_Last_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.3.1 = Yes,,PhenX,PX030502010302,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Consume_Twenty_Drinks_Past_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.3.1 = Yes, MARK Yes if Q1.3.2 = No",,PhenX,PX030502010303,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Consume_Twenty_Drinks_Consume_More,Did you have to drink much more to get an effect or drank the equivalent of a fifth of liquor?,DCW_030502.doc,encoded values,,,,,ASK IF Q1.3.1 = Yes,,PhenX,PX030502010304,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Increase_Consumption,In your entire life did you EVER increase your drinking because the amount you used to drink didn't give you the same effect anymore?,DCW_030502.doc,encoded values,,,,,MARK Yes IF Q1.3.3=Yes,,PhenX,PX030502010401,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Increase_Consumption_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.4.1 = Yes,,PhenX,PX030502010402,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Increase_Consumption_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.4.1 = Yes, MARK Yes if Q1.4.2 = No",,PhenX,PX030502010403,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Increase_Consumption_Much_More,Did you have to drink much more to get an effect or drank the equivalent of a fifth of liquor?,DCW_030502.doc,encoded values,,,,,ASK IF Q1.4.1 = Yes,,PhenX,PX030502010404,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Desire_Stop_Drinking_Ever,In your entire life did you EVER more than once WANT to stop or cut down on your drinking?,DCW_030502.doc,encoded values,,,,,MARK Yes IF Q1.4.3=Yes,,PhenX,PX030502010501,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Desire_Stop_Drinking_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.5.1 = Yes,,PhenX,PX030502010502,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Desire_Stop_Drinking_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.5.1 = Yes, MARK Yes if Q1.5.2 = No",,PhenX,PX030502010503,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Desire_Stop_Drinking_Goal,Did you want or try to stop or cut down on your drinking?,DCW_030502.doc,encoded values,,,,,ASK IF Q1.5.1 = Yes,,PhenX,PX030502010504,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Failed_Stop_Drinking_Ever,In your entire life did you EVER more than once TRY to stop or cut down on your drinking but found you couldn't do it?,DCW_030502.doc,encoded values,,,,,MARK Yes IF Q1.5.3=Yes,,PhenX,PX030502010601,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Failed_Stop_Drinking_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.6.1 = Yes,,PhenX,PX030502010602,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Failed_Stop_Drinking_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.6.1 = Yes, MARK Yes if Q1.6.2 = No",,PhenX,PX030502010603,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Failed_Stop_Drinking_Goal,Did you want or try to stop or cut down on your drinking?,DCW_030502.doc,encoded values,,,,,ASK IF Q1.6.1 = Yes,,PhenX,PX030502010604,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_More_Than_Intended_Ever,In your entire life did you EVER have a period when you ended up drinking more than you meant to?,DCW_030502.doc,encoded values,,,,,MARK Yes IF Q1.6.3=Yes,,PhenX,PX030502010701,,,,,1 = Yes,2 = No
