VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,ASK IF Q1.6.1 = Yes,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Usual_Amount,"In your entire life, Did you EVER find that your usual amount of a medicine or drug had much less effect on you than it once did?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402010100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Usual_Amount_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402010200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Usual_Amount_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402010300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Usual_Amount_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402010400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Usual_Amount_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402010500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Effect,"In your entire life, Did you EVER find that you had to use much more of a medicine or to get the effect you wanted?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402020100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Effect_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402020200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Effect_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402020300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Effect_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402020400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_More_Same_Effect_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402020500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Sleep_More,Did you EVER sleep more than usual (when the effects of a medicine or drug were wearing off)?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402030100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sleep_More_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402030200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sleep_More_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402030300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Sleep_More_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402030400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sleep_More_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402030500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Weak_Tired,Did you EVER feel weak or tired?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402040100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weak_Tired_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402040200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weak_Tired_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402040300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Weak_Tired_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402040400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weak_Tired_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402040500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Depressed,Did you EVER feel depressed?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402050100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Depressed_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402050200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Depressed_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402050300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Depressed_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402050400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Depressed_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402050500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Heart_Beating_Fast,Did you EVER find your heart beating fast (when the effects of a medicine or drug were wearing off)?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402060100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heart_Beating_Fast_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402060200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heart_Beating_Fast_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402060300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Heart_Beating_Fast_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402060400,,,,,1 = Yes,2 = No,,,,,,,,
