VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,VARIABLE_TERM,ORDER,VALUES,,,,,,,,
PX040601_Angina_Diagnosis,Has a doctor ever told you that you had angina?,DCW_040601.doc,encoded values,,,,,,,PhenX,PX040601010000,,1 = Yes,0 = No,9 = Don’t Know,,,,,,
PX040601_Angina_Chest_Discomfort_Since_LastExam,Any chest discomfort ever/since last exam or medical history update?,DCW_040601.doc,encoded values,, , ,,"If Yes, fill the following and continue.
If No, end of protocol.
(please provide narrative Comment in addition to checking the appropriate boxes)",,PhenX,PX040601020000,,0 = No,1 = Yes,2 = Maybe,9 = Don’t Know,,,,,
PX040601_Angina_Chest_Discomfort_Exertion,Chest discomfort with exertion or excitement,DCW_040601.doc,encoded values,, , ,,,,PhenX,PX040601030000,,0 = No,1 = Yes,2 = Maybe,9 = Don’t Know,,,,,
PX040601_Angina_Chest_Discomfort_Quite,Chest discomfort when quiet or resting,DCW_040601.doc,encoded values,, , ,,,,PhenX,PX040601040000,,0 = No,1 = Yes,2 = Maybe,9 = Don’t Know,,,,,
PX040601_Angina_Chest_Discomfort_Onset_Month,Chest Discomfort Characteristics - Date of onset (mo),DCW_040601.doc,integer,,1,12,,,,PhenX,PX040601050100,,,,,,,,,,
PX040601_Angina_Chest_Discomfort_Onset_Month_Encoded,Chest Discomfort Characteristics - Date of onset (mo),DCW_040601.doc,integer,,,,,,,PhenX,PX040601050200,,99 [ ] Unknown,,,,,,,,
PX040601_Angina_Chest_Discomfort_Onset_Year,Chest Discomfort Characteristics - Date of onset (yr),DCW_040601.doc,integer,,1900,[PRESENT,,,,PhenX,PX040601060000,,"1900..[PRESENT YEAR]
9999 [ ] Unknown
",,,,,,,,
PX040601_Angina_Chest_Discomfort_Usual_Duration_Minute,Chest Discomfort Characteristics - Usual duration (minutes),DCW_040601.doc,integer,,1,900,,,,PhenX,PX040601070100,,,,,,,,,,
PX040601_Angina_Chest_Discomfort_Usual_Duration_Minute_Encoded,Chest Discomfort Characteristics - Usual duration (minutes),DCW_040601.doc,encoded values,,,,,,,PhenX,PX040601070200,,999 [ ] Unknown,,,,,,,,
PX040601_Angina_Chest_Discomfort_Longest_Duration_Minute,Chest Discomfort Characteristics - Longest duration (minutes),DCW_040601.doc,integer,,1,900,,,,PhenX,PX040601080100,,,,,,,,,,
