VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Contraindication,Contraindication,DCW_090601.doc,string,,,,,,,PhenX,PX090601010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Lap_Counter,Lap counter,DCW_090601.doc,integer,,,,,,,PhenX,PX090601020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Blood_Pressure_Systolic,Blood pressure Systolic,DCW_090601.doc,integer,,,,,,,PhenX,PX090601030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Blood_Pressure_Diastolic,Blood pressure Diastolic,DCW_090601.doc,integer,,,,,,,PhenX,PX090601040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Medications_Before_Test_Name,Medications taken before the test (name),DCW_090601.doc,string,,,,,,,PhenX,PX090601050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Medications_Before_Test_Dose,Medications taken before the test (dose),DCW_090601.doc,string,,,,,,,PhenX,PX090601050100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Medications_Before_Test_Time,Medications taken before the test (time),DCW_090601.doc,string,,,,,,,PhenX,PX090601060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Supplemental_Oxygen,Supplemental oxygen during the test,DCW_090601.doc,enumerated,,,,,,,PhenX,PX090601070000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Supplemental_Oxygen_Flow,Supplemental oxygen during the test flow,DCW_090601.doc,integer,L/min,,,,,,PhenX,PX090601080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Supplemental_Oxygen_Type,Supplemental oxygen during the test type,DCW_090601.doc,string,,,,,,,PhenX,PX090601090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Baseline_Time,Baseline Time,DCW_090601.doc,Time,,,,,,,PhenX,PX090601100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Baseline_Heart_Rate,Baseline Heart Rate,DCW_090601.doc,integer,,,,,,,PhenX,PX090601110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Baseline_Dyspnea,Baseline Dyspnea (from the Borg scale),DCW_090601.doc,encoded values,,,,,,,PhenX,PX090601120000,,,,,0 = Nothing at all,"0.5 = Very, very slight (just noticeable)",1 = Very slight,2 = Slight (light),3 = Moderate,4 = Somewhat severe,5 = Severe (heavy),6,7 = Very severe,8,9,"10 = Very, very severe (maximal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Baseline_Fatigue,Baseline Fatigue (from the Borg scale),DCW_090601.doc,encoded values,,,,,,,PhenX,PX090601130000,,,,,0 = Nothing at all,"0.5 = Very, very slight (just noticeable)",1 = Very slight,2 = Slight (light),3 = Moderate,4 = Somewhat severe,5 = Severe (heavy),6,7 = Very severe,8,9,"10 = Very, very severe (maximal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Baseline_SPO2,Baseline Oxygen Saturation (SpO2),DCW_090601.doc,decimal,percent,,,,,,PhenX,PX090601140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_End_Of_Test_Time,End of Test Time,DCW_090601.doc,Time,,,,,,,PhenX,PX090601150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_End_Of_Test_Heart_Rate,End of Test Heart Rate,DCW_090601.doc,integer,,,,,,,PhenX,PX090601160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_End_Of_Test_Dyspnea,End of Test Dyspnea (from Borg scale),DCW_090601.doc,encoded values,,,,,,,PhenX,PX090601170000,,,,,0 = Nothing at all,"0.5 = Very, very slight (just noticeable)",1 = Very slight,2 = Slight (light),3 = Moderate,4 = Somewhat severe,5 = Severe (heavy),6,7 = Very severe,8,9,"10 = Very, very severe (maximal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_End_Of_Test_Fatigue,End of Test Fatigue (from Borg scale),DCW_090601.doc,encoded values,,,,,,,PhenX,PX090601180000,,,,,0 = Nothing at all,"0.5 = Very, very slight (just noticeable)",1 = Very slight,2 = Slight (light),3 = Moderate,4 = Somewhat severe,5 = Severe (heavy),6,7 = Very severe,8,9,"10 = Very, very severe (maximal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_End_Of_Test_SPO2,End of Test Oxygen Saturation (SpO2),DCW_090601.doc,decimal,percent,,,,,,PhenX,PX090601190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Stopped_Before_6min,Stopped or paused before 6 minutes?,DCW_090601.doc,enumerated,,,,,,,PhenX,PX090601200000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Reason_Stopped,Reason stopped or paused before 6 minutes,DCW_090601.doc,string,,,,,,,PhenX,PX090601210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Other_Symptoms,Other symptoms at end of exercise,DCW_090601.doc,enumerated,,,,,,,PhenX,PX090601220000,,,,,Angina,Dizziness,"Hip, Leg or Calf Pain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Number_Laps,Number of laps,DCW_090601.doc,integer,,,,,,,PhenX,PX090601230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Final_Lap_Distance,Final partial lap distance,DCW_090601.doc,integer,meter,,,,,,PhenX,PX090601240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Total_Distance,Total distance walked in 6 minutes (Number of laps X 60 meters + Final partial lap distance),DCW_090601.doc,integer,meter,,,,,,PhenX,PX090601250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Predicted_Distance,Predicted distance,DCW_090601.doc,integer,meter,,,,,,PhenX,PX090601260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Tech Comments,Technicians Comments,DCW_090601.doc,string,,,,,,,PhenX,PX090601270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX090601_Interpretation,Interpretation (including comparison with a preintervention 6MWD,DCW_090601.doc,string,,,,,,,PhenX,PX090601280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
