VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Any_Sex,Have you ever had any kind of sex,DCW_101701.doc,encoded values,,,,,,,PhenX,PX101701010000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't know,,,,
PX101701_Sexual_Risk_Behavior_Male_Vaginal_Sex,"Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means putting your penis in a woman’s vagina.",DCW_101701.doc,encoded values,,,,,,,PhenX,PX101701020000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't know,,,,
PX101701_Sexual_Risk_Behavior_Male_Oral_Sex,Have you ever performed oral sex on a woman? This means putting your mouth on a woman’s vagina or genitals.,DCW_101701.doc,encoded values,,,,,,,PhenX,PX101701030000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't know,,,,
PX101701_Sexual_Risk_Behavior_Male_Anal_Sex,Have you ever had anal sex with a woman? This means contact between your penis and a woman’s anus or butt.,DCW_101701.doc,encoded values,,,,,,,PhenX,PX101701040000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't know,,,,
PX101701_Sexual_Risk_Behavior_Male_Any_Sex_First_Time_Age,"How old were you the first time you had any kind of sex, including {vaginal, anal, or oral/vaginal or anal/vaginal or oral/anal or oral/vaginal/anal/oral}?",DCW_101701.doc,numeric,,,,,,,PhenX,PX101701050100,,,,,,,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Any_Sex_First_Time_Age_Encoded,"How old were you the first time you had any kind of sex, including {vaginal, anal, or oral/vaginal or anal/vaginal or oral/anal or oral/vaginal/anal/oral}?",DCW_101701.doc,encoded values,,,,,,,PhenX,PX101701050200,,,,,77 = Refused,99 = Don't know,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Any_Sex_Lifetime_Women_Number,"In your lifetime, with how many women have you had any kind of sex?",DCW_101701.doc,numeric,,,,,,,PhenX,PX101701060100,,,,,,,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Any_Sex_Lifetime_Women_Number_Encoded,"In your lifetime, with how many women have you had any kind of sex?",DCW_101701.doc,encoded values,,,,,,,PhenX,PX101701060200,,,,,77777 = Refused,99999 = Don't know,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Any_Sex_Past_Year_Women_Number," In the past 12 months, with how many women have you had any kind of sex?",DCW_101701.doc,numeric,,,,,,,PhenX,PX101701070100,,,,,,,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Any_Sex_Past_Year_Women_Number_Encoded," In the past 12 months, with how many women have you had any kind of sex?",DCW_101701.doc,encoded values,,,,,,,PhenX,PX101701070200,,,,,77777 = Refused,99999 = Don't know,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Vaginal_Sex_Lifetime_Women_Number,"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in woman’s vagina.",DCW_101701.doc,numeric,,,,,ASK IF Q2 = 1,,PhenX,PX101701080100,,,,,,,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Vaginal_Sex_Lifetime_Women_Number_Encoded,"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in woman’s vagina.",DCW_101701.doc,encoded values,,,,,ASK IF Q2 = 1,,PhenX,PX101701080200,,,,,77777 = Refused,99999 = Don't know,,,,,,
PX101701_Sexual_Risk_Behavior_Male_Vaginal_Sex_Past_Year_Women_Number,"In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman’s vagina.",DCW_101701.doc,numeric,,,,,ASK IF Q2 = 1,,PhenX,PX101701090100,,,,,,,,,,,,
