"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX101704_Sexual_Risk_Behavior_Female_Male_Sex","Have you ever had any kind of sex","DCW_101704.doc","encoded values","","","","","","","PhenX","PX101704010000","","","","","1 = Yes","2 = No,7 = Refused,9 = Don't Know,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Vaginal","Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina.","DCW_101704.doc","encoded values","","","","","","","PhenX","PX101704020000","","","","","1 = Yes","2 = No,7 = Refused,9 = Don't Know,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Oral","Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.","DCW_101704.doc","encoded values","","","","","","","PhenX","PX101704030000","","","","","1 = Yes","2 = No,7 = Refused,9 = Don't Know,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Anal","Have you ever had anal sex? This means contact between a man's penis and your anus or butt.","DCW_101704.doc","encoded values","","","","","","","PhenX","PX101704040000","","","","","1 = Yes","2 = No,7 = Refused,9 = Don't Know,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Age","How old were you the first time you had any kind of sex, including {vaginal, anal, or oral/vaginal or anal/vaginal or oral/anal or oral/vaginal/anal/oral}?","DCW_101704.doc","encoded values","","","","","","","PhenX","PX101704050000","","","","","77 = Refused","99 = Don't Know,,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Age_Num","How old were you the first time you had any kind of sex, including {vaginal, anal, or oral/vaginal or anal/vaginal or oral/anal or oral/vaginal/anal/oral}? Enter age in Years","DCW_101704.doc","integer","","","","","","","PhenX","PX101704050100","","","","","",",,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Lifetime","In your lifetime, with how many men have you had any kind of sex?","DCW_101704.doc","encoded values","","","","","","","PhenX","PX101704060000","","","","","77777 = Refused","99999 = Don't Know,,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Lifetime_Num","In your lifetime, with how many men have you had any kind of sex? Please enter a number","DCW_101704.doc","integer","","","","","","","PhenX","PX101704060100","","","","","",",,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Twelve_Months","In the past 12 months, with how many men have you had any kind of sex?","DCW_101704.doc","encoded values","","","","","ASK IF \"In your lifetime, with how many men have you had any kind of sex?\" > 0","","PhenX","PX101704070000","","","","","77777 = Refused","99999 = Don't Know,,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Twelve_Months_Num","In the past 12 months, with how many men have you had any kind of sex? Please enter a number:","DCW_101704.doc","integer","","","","","ASK IF \"In your lifetime, with how many men have you had any kind of sex?\" > 0","","PhenX","PX101704070100","","","","","",",,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Lifetime_Vaginal","In your lifetime, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.","DCW_101704.doc","encoded values","","","","","ASK IF \"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina.\" = '1'","","PhenX","PX101704080000","","","","","77777 = Refused","99999 = Don't Know,,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Lifetime_Vaginal_Num","In your lifetime, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina. Please enter a number:","DCW_101704.doc","integer","","","","","ASK IF \"In your lifetime, with how many men have you had any kind of sex?\" > 0","","PhenX","PX101704080100","","","","","",",,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Twelve_Months_Vaginal","In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.","DCW_101704.doc","encoded values","","","","","ASK IF \"In your lifetime, with how many men have you had any kind of sex?\" > 0","","PhenX","PX101704090000","","","","","77777 = Refused","99999 = Don't Know,,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Male_Twelve_Months_Vaginal_Num","In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina. Please enter a number or enter zero for none:","DCW_101704.doc","integer","","","","","ASK IF \"In your lifetime, with how many men have you had any kind of sex?\" > 0","","PhenX","PX101704090100","","","","","",",,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Sex_Male_Twelve_Without","In the past 12 months, about how often have you had {vaginal or anal/vaginal/anal} sex without using a condom?","DCW_101704.doc","encoded values","","","","","ASK IF \"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.\" > 0","","PhenX","PX101704100000","","","","","1 = Never","2 = Less than half of the time,3 = About half of the time,\"4 = Not always, but more than half of the time\",5 = Always,6 = Refused,7 = Don't Know"
"PX101704_Sexual_Risk_Behavior_Female_Sex_Female_Sex","Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.","DCW_101704.doc","encoded values","","","","","","","PhenX","PX101704110000","","","","","1 = Yes","2 = No,7 = Refused,9 = Don't Know,,,"
"PX101704_Sexual_Risk_Behavior_Female_Sex_Female_Sex_Lifetime","In your lifetime with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals.","DCW_101704.doc","encoded values","","","","","ASK IF \"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.\" = '1'","","PhenX","PX101704120000","","","","","77777 = Refused","99999 = Don't Know,,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Sex_Female_Sex_Lifetime_Num","In your lifetime with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals. Please enter a number:","DCW_101704.doc","integer","","","","","ASK IF \"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.\" = '1'","","PhenX","PX101704120100","","","","","",",,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Female_Twelve_Months","In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals.","DCW_101704.doc","encoded values","","","","","ASK IF \"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.\" = '1'","","PhenX","PX101704130000","","","","","77777 = Refused","99999 = Don't Know,,,,,"
"PX101704_Sexual_Risk_Behavior_Female_Female_Twelve_Months_Num","In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals. Please enter a number","DCW_101704.doc","integer","","","","","ASK IF \"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.\" = '1'","","PhenX","PX101704130100","","","","","",",,,,,"
