VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_Felt_Fat,"Over the past 3 months, have you felt fat?",DCW_120602.doc,encoded values,,,,,,,PhenX,PX120602010000,,,,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Extremely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_Fear_GainWeight,"Over the past 3 months, have you had a definite fear that you might gain weight or become fat?",DCW_120602.doc,encoded values,,,,,,,PhenX,PX120602020000,,,,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Extremely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_WeightShape_Influence,"Over the past 3 months, has your weight or shape influenced how you judge yourself as a person?",DCW_120602.doc,encoded values,,,,,,,PhenX,PX120602030000,,,,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Extremely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_UnusualAmount,"During the past 3 months have there been times when you have eaten what other people would regard as an unusually large amount of food (e.g., a pint of ice cream) given the circumstances?",DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602040000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_UnusualAmount_LossOfControl,"During the times when you ate an unusually large amount of food, did you experience a loss of control (e.g., felt you couldn't stop eating or control what or how much you were eating?",DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602050000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_UnusualAmount_Frequency,How many times per month on average over the past 3 months have you eaten an unusually large amount of food and experienced a loss of control?,DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602060000,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_Episodes_LossOfControl_EatRapidly,"During episodes of overeating with a loss of control, did you eat much more rapidly than normal?",DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602070000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_Episodes_LossOfControl_UncomfortablyFull,"During episodes of overeating with a loss of control, did you eat until you felt uncomfortably full?",DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602080000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_Episodes_LossOfControl_NotHungry,"During episodes of overeating with a loss of control, did you eat large amounts of food when you didn't feel physically hungry?",DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602090000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_Episodes_LossOfControl_EatAlone,"During episodes of overeating with a loss of control, did you eat alone because you were embarrassed by how much you were eating?",DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602100000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_Episodes_LossOfControl_FeelDisgustedDepressed,"During episodes of overeating with a loss of control, did you feel disgusted with yourself, depressed, or very guilty after overeating?",DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602110000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_Episodes_LossOfControl_FeelUpset,"If you have episodes of uncontrollable overeating, does it make you very upset?",DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602120000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_Frequency_Vomit,How many times per month on average over the past 3 months have you made yourself vomit?,DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602130000,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_Frequency_Laxatives,How many times per month on average over the past 3 months have you used laxatives or diuretics?,DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602140000,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_Frequency_Fasting,How many times per month on average over the past 3 months have you fasted (skipped at least 2 meals in a row)?,DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602150000,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX120602_EDDS5_ThreeMonths_Frequency_Exercise,How many times per month on average over the past 3 months have you engaged in more intense exercise specifically to counteract the effects of overeating?,DCW_120602.doc,enumerated,,,,,,,PhenX,PX120602160000,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
