VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Monday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Tuesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602010201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Tuesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602010202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Wednesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602010301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Wednesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602010302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Thursday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602010401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Thursday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602010402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Friday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602010501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Television_Friday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching TV?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602010502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Monday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602020102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Tuesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602020201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Tuesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602020202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Wednesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602020301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Wednesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602020302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Thursday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602020401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Thursday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602020402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Friday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602020501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Friday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602020502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602030101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
