"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX151102_Physical_Functioning_Subjective_Managing_Money","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...managing {your/his/her} money [such as keeping track of {your/his/her} expenses or paying bills]?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010001","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Walking_Quarter_Mile","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...walking for a quarter of a mile [that is about 2 or 3 blocks]?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010002","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Walking_Ten_Steps","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...walking up 10 steps without resting?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010003","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Stooping","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...stooping, crouching, or kneeling?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010004","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Lifting_Ten_Pounds","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...lifting or carrying something as heavy as 10 pounds [like a sack of potatoes or rice]?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010005","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Doing_Chores","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...doing chores around the house [like vacuuming, sweeping, dusting or straightening up]?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010006","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Preparing_Own_Meals","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...preparing {your/his/her} own meals?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010007","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Walking_Room","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...walking from one room to another on the same level?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010008","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Standing_Armless_Straight_Chair","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...standing up from an armless straight chair?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010009","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Getting_In_Bed","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...getting in or out of bed?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010010","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
