"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX171601_Low_Back_Pain_Disability_Index_Stay_Home","I stay at home most of the time because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601010000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Change_Position_Frequently","I change position frequently to try and get my back comfortable.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601020000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Walk_Slowly","I walk more slowly than usual because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601030000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Not_Doing_Job_House","Because of my back, I am not doing any of the jobs that I usually do around the house.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601040000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Use_Handrail","Because of my back, I use a handrail to get upstairs.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601050000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Lie_Down_Often","Because of my back, I lie down to rest more often.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601060000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Hold_Something_Get_Out_Easy_Chair","Because of my back, I have to hold on to something to get out of an easy chair.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601070000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Get_Other_People_Do_Things","Because of my back, I try to get other people to do things for me.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601080000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Dress_Slowly","I get dressed more slowly than usual because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601090000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Stand_Short_Period","I only stand for short periods of time because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601100000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Try_Not_Bend_Kneel","Because of my back, I try not to bend or kneel down.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601110000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Difficult_Get_Out_Chair","I find it difficult to get out of a chair because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601120000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Painful_Almost_All_Time","My back is painful almost all the time.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601130000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Difficult_Turn_Over_Bed","I find it difficult to turn over in bed because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601140000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Appetite_Not_Good","My appetite is not very good because of my back pain.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601150000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Trouble_Put_On_Socks","I have trouble putting on my socks (or stockings) because of the pain in my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601160000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Walk_Short_Distance","I only walk short distances because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601170000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Sleep_Less","I sleep less well because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601180000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Dress_With_Help","Because of my back pain, I get dressed with help from someone else.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601190000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Sit_Most_Day","I sit down for most of the day because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601200000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Avoid_Heavy_Jobs_House","I avoid heavy jobs around the house because of my back.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601210000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Irritable_Bad_Tempered_With_People","Because of my back pain, I am more irritable and bad tempered with people than usual.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601220000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171601_Low_Back_Pain_Disability_Index_Go_Upstairs_Slowly","Because of my back, I go upstairs more slowly than usual.","DCW_171601.doc","encoded values","","","","","","","PhenX","PX171601230000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
