VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Month,Date Abstracted - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Day,Date Abstracted - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Year,Date Abstracted - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstractor_ID,Abstractor ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401020000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Nosologist_ID,Nosologist ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401030000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_CTR_ID,CTR ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401040000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Study_Year,Study Year,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401050000,,,,,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Purpose,Purpose of Abstract,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401060000,,,,,Initial abstract,Re-abstract for QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Multiple_Primary_Cancer,Multiple Primary Cancer Number,DCW_190401.doc,integer,,2,9,,,,PhenX,PX190401070000,,,,,2..9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Office_Use_Form_Receipted_SMS,Form Receipted into SMS,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401080100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Office_Use_Manual_Review_Completed,Manual Review Completed,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401080200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Office_Use_Non_Scannable_Items,Data Entry of Non-Scannable Items,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401080300,,,,,Completed,None Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Office_Use_Data_Retrieval,Data Retrieval,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401080400,,,,,Attempted,None Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Office_Use_Disposition,Disposition,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401080500,,,,,Interim Complete (ICM),Final Complete (FCM),Final Incomplete (FIG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Diagnostic_Procedures_Performed,Diagnostic Procedures Performed,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401090000,,,,,Yes,"No, Physician report","No, Participant self-report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Initial_Visit_Reason_Symptomatic,Reason for Initial Visit for Clinical Assessment  Symptomatic,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401100101,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Initial_Visit_Reason_Positive_PLCO,Reason for Initial Visit for Clinical Assessment  Follow-up of positive PLCO screen,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401100102,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Initial_Visit_Reason_Other,Reason for Initial Visit for Clinical Assessment  Other,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401100103,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Initial_Visit_Reason_Other_Specify,Specify Other Reason for Initial Visit for Clinical Assessment,DCW_190401.doc,string,,,,,,,PhenX,PX190401100104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
