VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Ask,"People ask, ""What's wrong with your voice?""",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302010000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impariments_Cannot_Hear,"Because of my voice problem, people can't hear me.",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302020000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Frustrated,My voice problem frustrates me.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302030000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Air,My voice problem causes me to run out of air when I talk.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302040000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Frustrated_Changes,I am frustrated by the changes in my voice.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302050000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Sick,People think I'm sick because of my voice problem.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302060000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Speak_Less,"Because of my voice problem, I speak less.",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302070000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Effort,It takes effort for me to speak.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302080000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Annoy,It annoys me when my voice doesn't work well.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302090000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Wants,My voice problem affects what I want to do.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302100000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Judgement,People make negative judgments about me based on my voice.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302110000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Worry,I worry about my voice.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302120000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Activities,"I had to stop taking part in an activity that is important to me because of my voice problem (singing, volunteer, work, etc).",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302130000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Others_Talk,"Because of my voice problem, other people talk for me.",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302140000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Sound,I don't like the way my voice sounds.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302150000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Sad,My voice problem makes me sad.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302160000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Lose_Voice,I completely lose my voice.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302170000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Hindered,I feel hindered (held back) because of my voice problem.,DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302180000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Telephone,"Even though I have a voice disorder, I talk on the telephone as much as I want.",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302190000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Like_Sound,"Even though I have a voice disorder, I like the way my voice sounds.",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302200000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Talk_Long,"Even though I have a voice disorder, I can talk as much or long as I want.",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302210000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_Understand,"Even though I have a voice disorder, my family and close friends understand me when I talk.",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302220000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201302_Voice_Impairments_As_Good,"Even though I have a voice disorder, my voice is as good as I want it to be.",DCW_201302.doc,encoded values,,,,,,,PhenX,PX201302230000,,,,,0 = Never,1 = Rarely,2 = Sometimes,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
