VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Rate_Structure_Lips_Symmetry,Rate the structure of the lips at rest based on: symmetry,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601010000,,,,,0 = abnormal,1 = normal,
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Rate_Structure_Lips_Relationship,Rate the structure of the lips at rest based on: relationship (open vs. closed),DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601020000,,,,,0 = abnormal,1 = normal,
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Lips_Rounding,Rate the oral function of the lips based on: rounding,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601030000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Lips_Protrusion,Rate the oral function of the lips based on: protrusion,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601040000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Lips_Retraction,Rate the oral function of the lips based on: retraction,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601050000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Lips_Alternate_Pucker_Smile,Rate the oral function of the lips based on: alternate pucker & smile,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601060000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Lips_Bite_Lower,Rate the oral function of the lips based on: bite lower lip,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601070000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Lips_Seal,Rate the oral function of the lips based on: lip seal,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601080000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Lips_Puff_Cheeks,Rate the oral function of the lips based on: puff cheeks,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601090000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Lips_Open_Close,Rate the oral function of the lips based on: open & close lips,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601100000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Speech_Function_Lips_Rounding,Rate the speech function of the lips based on: rounding /o:/,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601110000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Speech_Function_Lips_Protrusion,Rate the speech function of the lips based on: protrusion /u:/,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601120000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Speech_Function_Lips_Retraction,Rate the speech function of the lips based on: retraction /i:/,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601130000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Speech_Function_Lips_Alternate,Rate the speech function of the lips based on: alternate /u i/,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601140000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Speech_Function_Lips_Bite_Lower,Rate the speech function of the lips based on: bite lower lip /f/,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601150000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Speech_Function_Lips_Open_Close,Rate the speech function of the lips based on: open & close lips /ma/,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601160000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Rate_Structure_Mandible_Symmetry,Rate the structure of the mandible at rest based on: symmetry,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601170000,,,,,0 = abnormal,1 = normal,
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Rate_Structure_Mandible_Occlusion,Rate the structure of the mandible at rest based on: occlusion,DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601180000,,,,,0 = abnormal,1 = normal,
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Rate_Structure_Mandible_Size,Rate the structure of the mandible at rest based on: size (re: facial features),DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601190000,,,,,0 = abnormal,1 = normal,
PX201601_Oral_Mechanism_Cranial_Nerve_Examination_Young_Children_Oral_Function_Mandible_Excursion,Rate the oral function of the mandible based on: excursion (click teeth 5x),DCW_201601.doc,encoded values,,,,,,,PhenX,PX201601200000,,,,,0 = absent function,1 = emerging skill but not with adult-like precision,2 = adult-like function
