VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Birth_Year,What is your birth year?,DCW_201801.doc,integer,,,,,,,PhenX,PX201801010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Gender,What is your gender?,DCW_201801.doc,enumerated,,,,,,,PhenX,PX201801020000,,,,,Male,Female,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Language_Home,What is the language you speak at home?,DCW_201801.doc,string,,,,,,,PhenX,PX201801030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Problem_Self_Assessment,Do you think you have a hearing problem?,DCW_201801.doc,enumerated,,,,,,,PhenX,PX201801040000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Quiet_Place,Are you in a quiet place?,DCW_201801.doc,enumerated,,,,,,,PhenX,PX201801050000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Earphones,Do you have earphones on?,DCW_201801.doc,enumerated,,,,,ASK IF Q5=Yes,,PhenX,PX201801060000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_1,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q5=Yes,,PhenX,PX201801070100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_2,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.1>0,,PhenX,PX201801070200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_3,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.2>0,,PhenX,PX201801070300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_4,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.3>0,,PhenX,PX201801070400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_5,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.4>0,,PhenX,PX201801070500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_6,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.5>0,,PhenX,PX201801070600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_7,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.6>0,,PhenX,PX201801070700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_8,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.7>0,,PhenX,PX201801070800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_9,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.8>0,,PhenX,PX201801070900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_10,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.9>0,,PhenX,PX201801071000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_11,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.10>0,,PhenX,PX201801071100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_12,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.11>0,,PhenX,PX201801071200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201801_Hearing_Screener_Three_Digits_13,What three digits do you hear?,DCW_201801.doc,integer,,,,,ASK IF Q7.12>0,,PhenX,PX201801071300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
