VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Name,"Full Name, Initials, Other Identifiers",DCW_211101.doc,string,,,,,,,PhenX,PX211101010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Which_Generator,From which name generator was this person mentioned?,DCW_211101.doc,enumerated,,,,,,,PhenX,PX211101010200,,,,,I = Important Matters,H = Health,B = Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Which_Generator_Section,"Full Name, Initials, Other Identifiers",DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101010300,,,,,"1 = From time to time, most people discuss IMPORTANT MATTERS with other people, and we need people we can depend on for help. These can be family, friends, people who have been really helpful to you-what we are interested in are the ones that you are most likely to talk to about really important matters in your life, whether they live near you or far away. Who are the people in your life with whom you discuss important matters? Who are the people you can really count on?",2 = Is there anyone who always wants to talk to you about your important matters in your life whether you want them to or not?,"3 = Are there people who are, in general, a burden to you, because they want to discuss matters important to them, even if you don't?","4 = Have there been any important changes in this recently? In other words, were there people whom you used to discuss important matters with that you would not or no longer talk to about such things? These could be people whom you no longer feel close to, who might have moved or died. Who are they?",5 = I'm interested in the people in your life that you talk to about health problems when they come up. Who are the people that you discuss your health with or you can really count on when you have physical or emotional problems?,"6 = Who are the people, whether or not you have mentioned them before, who are always talking about your mental and physical health and trying to get you to do things about them?","7 = Are there people who are, in general, a burden to you because of their emotional or physical health problems and always want to talk to you about their problems, whether you want them to or not?","8 = Have there been any important changes in any of these lists? In other words, were there people whom you used to discuss health issues with or that you would rely on for help that you would not or no longer talk to about such things? These could be people whom you no longer feel close to, who might have moved or died.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Gender,Person 1 gender,DCW_211101.doc,enumerated,,,,,,,PhenX,PX211101010400,,,,,Male,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Age,Person 1 Age,DCW_211101.doc,integer,year,,,,,,PhenX,PX211101010500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Connection,How are you connected to this person?,DCW_211101.doc,encoded values,,,,,"Use Card A, record all that apply",,PhenX,PX211101010600,,,,,1 = Spouse/partner,2 = Parent,3 = Brother/sister (including stepbrothers and sisters),4 = Child,5 = Grandparent,6 = Grandchild,7 = Aunt or uncle,8 = In-law,9 = Other relative,10 = Coworker or colleague,11 = Neighbor,12 = Friend,"13 = Boss, employer, teacher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_How_Close,How close are you to this person?,DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101010700,,,,,1 = Very close,2 = Sort of close,3 = Not very close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Contact_Frequency,How often do you see or talk to the person?,DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101010800,,,,,1 = Often,2 = Occasionally,3 = Hardly ever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Trust_Doctors,Do they trust doctors to take care of people's problems?,DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101010900,,,,,1 = A lot,2 = Most of the time,3 = Not very much,8 = Don't know/unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Function,Has this person done any of the following for you or helped you out?,DCW_211101.doc,encoded values,,,,,"Use Card B, record all that apply  Probe: what else",,PhenX,PX211101011000,,,,,1 = Listen to you when you were feeling down or upset?,2 = Tell you they care about what happens to you?,"3 = Give you suggestions when you have a problem about what you could do, where you could go, or whom you could talk to?","4 = Try to help you with daily chores, like shopping for food, cooking, fixing things, cleaning your apartment/house, or taking you places that you need to go?",5 = Help out when you are short of money by giving or loaning you money?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person1_Cause_Problems,"Does this person hassle you, cause you problems, or make your life difficult?",DCW_211101.doc,encoded values,,,,,"Use Card B, record all that apply",,PhenX,PX211101011100,,,,,1 = A lot,2 = Sometimes,3 = No/Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Name,"Full Name, Initials, Other Identifiers",DCW_211101.doc,string,,,,,,,PhenX,PX211101020100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Which_Generator,From which name generator was this person mentioned?,DCW_211101.doc,enumerated,,,,,,,PhenX,PX211101020200,,,,,I = Important Matters,H = Health,B = Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Which_Generator_Section,"Full Name, Initials, Other Identifiers",DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101020300,,,,,"1 = From time to time, most people discuss IMPORTANT MATTERS with other people, and we need people we can depend on for help. These can be family, friends, people who have been really helpful to you-what we are interested in are the ones that you are most likely to talk to about really important matters in your life, whether they live near you or far away. Who are the people in your life with whom you discuss important matters? Who are the people you can really count on?",2 = Is there anyone who always wants to talk to you about your important matters in your life whether you want them to or not?,"3 = Are there people who are, in general, a burden to you, because they want to discuss matters important to them, even if you don't?","4 = Have there been any important changes in this recently? In other words, were there people whom you used to discuss important matters with that you would not or no longer talk to about such things? These could be people whom you no longer feel close to, who might have moved or died. Who are they?",5 = I'm interested in the people in your life that you talk to about health problems when they come up. Who are the people that you discuss your health with or you can really count on when you have physical or emotional problems?,"6 = Who are the people, whether or not you have mentioned them before, who are always talking about your mental and physical health and trying to get you to do things about them?","7 = Are there people who are, in general, a burden to you because of their emotional or physical health problems and always want to talk to you about their problems, whether you want them to or not?","8 = Have there been any important changes in any of these lists? In other words, were there people whom you used to discuss health issues with or that you would rely on for help that you would not or no longer talk to about such things? These could be people whom you no longer feel close to, who might have moved or died.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Gender,Person 2 gender,DCW_211101.doc,enumerated,,,,,,,PhenX,PX211101020400,,,,,Male,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Age,Person 2 Age,DCW_211101.doc,integer,year,,,,,,PhenX,PX211101020500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Connection,How are you connected to this person?,DCW_211101.doc,encoded values,,,,,"Use Card A, record all that apply",,PhenX,PX211101020600,,,,,1 = Spouse/partner,2 = Parent,3 = Brother/sister (including stepbrothers and sisters),4 = Child,5 = Grandparent,6 = Grandchild,7 = Aunt or uncle,8 = In-law,9 = Other relative,10 = Coworker or colleague,11 = Neighbor,12 = Friend,"13 = Boss, employer, teacher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_How_Close,How close are you to this person?,DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101020700,,,,,1 = Very close,2 = Sort of close,3 = Not very close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Contact_Frequency,How often do you see or talk to the person?,DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101020800,,,,,1 = Often,2 = Occasionally,3 = Hardly ever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Trust_Doctors,Do they trust doctors to take care of people's problems?,DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101020900,,,,,1 = A lot,2 = Most of the time,3 = Not very much,8 = Don't know/unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Function,Has this person done any of the following for you or helped you out?,DCW_211101.doc,encoded values,,,,,"Use Card B, record all that apply  Probe: what else",,PhenX,PX211101021000,,,,,1 = Listen to you when you were feeling down or upset?,2 = Tell you they care about what happens to you?,"3 = Give you suggestions when you have a problem about what you could do, where you could go, or whom you could talk to?","4 = Try to help you with daily chores, like shopping for food, cooking, fixing things, cleaning your apartment/house, or taking you places that you need to go?",5 = Help out when you are short of money by giving or loaning you money?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person2_Cause_Problems,"Does this person hassle you, cause you problems, or make your life difficult?",DCW_211101.doc,encoded values,,,,,"Use Card B, record all that apply",,PhenX,PX211101021100,,,,,1 = A lot,2 = Sometimes,3 = No/Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person3_Name,"Full Name, Initials, Other Identifiers",DCW_211101.doc,string,,,,,,,PhenX,PX211101030100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person3_Which_Generator,From which name generator was this person mentioned?,DCW_211101.doc,enumerated,,,,,,,PhenX,PX211101030200,,,,,I = Important Matters,H = Health,B = Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211101_Person3_Which_Generator_Section,"Full Name, Initials, Other Identifiers",DCW_211101.doc,encoded values,,,,,,,PhenX,PX211101030300,,,,,"1 = From time to time, most people discuss IMPORTANT MATTERS with other people, and we need people we can depend on for help. These can be family, friends, people who have been really helpful to you-what we are interested in are the ones that you are most likely to talk to about really important matters in your life, whether they live near you or far away. Who are the people in your life with whom you discuss important matters? Who are the people you can really count on?",2 = Is there anyone who always wants to talk to you about your important matters in your life whether you want them to or not?,"3 = Are there people who are, in general, a burden to you, because they want to discuss matters important to them, even if you don't?","4 = Have there been any important changes in this recently? In other words, were there people whom you used to discuss important matters with that you would not or no longer talk to about such things? These could be people whom you no longer feel close to, who might have moved or died. Who are they?",5 = I'm interested in the people in your life that you talk to about health problems when they come up. Who are the people that you discuss your health with or you can really count on when you have physical or emotional problems?,"6 = Who are the people, whether or not you have mentioned them before, who are always talking about your mental and physical health and trying to get you to do things about them?","7 = Are there people who are, in general, a burden to you because of their emotional or physical health problems and always want to talk to you about their problems, whether you want them to or not?","8 = Have there been any important changes in any of these lists? In other words, were there people whom you used to discuss health issues with or that you would rely on for help that you would not or no longer talk to about such things? These could be people whom you no longer feel close to, who might have moved or died.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
