VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX240301_Phenols_Parabens_Participant_Consent,Did the participant refuse urine collection?,DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301010000,,,,,Yes,No,,,,,,,,,,
PX240301_Phenols_Parabens_Refusal_Reason,"If yes, what is the reason?",DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301020100,,,,,Physical limitation,Participant ill or emergency,Language issue,No time,Unable to urinate,Uncomfortable with collection procedures,Other,Refused,,,,
PX240301_Phenols_Parabens_Refusal_Reason_Other,"If OTHER, please describe",DCW_240301.doc,string,,,,,,,PhenX,PX240301020200,,,,,,,,,,,,,,,,
PX240301_Phenols_Parabens_Urinate_Date,When did you last urinate? Date,DCW_240301.doc,date,,,,,,,PhenX,PX240301030100,,,,,,,,,,,,,,,,
PX240301_Phenols_Parabens_Urinate_Time,When did you last urinate? Time,DCW_240301.doc,string,,,,,,,PhenX,PX240301030200,,,,,,,,,,,,,,,,
PX240301_Phenols_Parabens_Urinate_Encoded,When did you last urinate? Encoded,DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301030300,,,,,Refused,Don't know,,,,,,,,,,
PX240301_Phenols_Parabens_Eat_Date,When was the last time you had anything to eat or drink? Date,DCW_240301.doc,date,,,,,,,PhenX,PX240301040100,,,,,,,,,,,,,,,,
PX240301_Phenols_Parabens_Eat_Time,When was the last time you had anything to eat or drink? Time,DCW_240301.doc,string,,,,,,,PhenX,PX240301040200,,,,,,,,,,,,,,,,
PX240301_Phenols_Parabens_Eat_Encoded,When was the last time you had anything to eat or drink? Encoded,DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301040300,,,,,Refused,Don't know,,,,,,,,,,
PX240301_Phenols_Parabens_Meat_Fish,"How much of what you ate was beef, pork, tuna, or salmon?",DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301050000,,,,,None,Less than one-quarter of the meal,One-quarter of the meal,More than one-half but less than three-quarters of the meal,"Three-quarters or more, but not all of the meal",All of the meal,Refused,Don't know,,,,
PX240301_Phenols_Parabens_Creatine,Do you take creatine supplements?,DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301060000,,,,,Yes,No,Refused,Don't know,,,,,,,,
PX240301_Phenols_Parabens_Specimen_Label,Is the specimen ID label affixed to the collection container and is readable and not damaged?,DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301070000,,,,,Yes,No,,,,,,,,,,
PX240301_Phenols_Parabens_Collection_Status,What is the status of the urine collection?,DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301080100,,,,,Collected,Not collected,,,,,,,,,,
PX240301_Phenols_Parabens_No_Collection_Reason,"If the urine was not collected, what was the reason?",DCW_240301.doc,enumerated,,,,,,,PhenX,PX240301080200,,,,,Physical limitation,Participant ill or emergency,Collection supplies malfunctioned,"Language issue, Spanish","Language issue, non-Spanish",Cognitive disability,No time,Other,Refused,Don't know,,
PX240301_Phenols_Parabens_Collection_Date,What is the date the urine specimen was collected?,DCW_240301.doc,date,,,,,,,PhenX,PX240301090100,,,,,,,,,,,,,,,,
PX240301_Phenols_Parabens_Collection_Time,What is the time the urine specimen was collected?,DCW_240301.doc,time,,,,,,,PhenX,PX240301090200,,,,,,,,,,,,,,,,
PX240301_Phenols_Parabens_Concentration,Urine Phenol and Paraben Concentration in Nanograms per Milliliter Concentration,DCW_240301.doc,numeric,,,,,,,PhenX,PX240301100000,,,,,,,,,,,,,,,,
