VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Ultrasound_Date,Date of ultrasound: ,DCW_241501.doc,date,,,,,,,PhenX,PX241501010000,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Ages_Weeks,Gestational Age: ,DCW_241501.doc,numeric,weeks,,,,,,PhenX,PX241501020100,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Ages_Days,Gestational Age: ,DCW_241501.doc,numeric,days,,,,,,PhenX,PX241501020200,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Biometric_Measures,Biometric measures as they appear on the ultrasound report:,DCW_241501.doc,string,,,,,,,PhenX,PX241501030000,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Biparietal_Diameter,Bi-parietal diameter (BPD): ,DCW_241501.doc,numeric,mm,,,,,,PhenX,PX241501040000,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Head_Circumference,Head circumference (HC): ,DCW_241501.doc,numeric,mm,,,,,,PhenX,PX241501050000,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Abdominal_Circumference,Abdominal circumference (AC): ,DCW_241501.doc,numeric,mm,,,,,,PhenX,PX241501060000,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Femur_Length,Femur length (FL): ,DCW_241501.doc,numeric,mm,,,,,,PhenX,PX241501070000,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Estimated_Fetal_Weight,Estimated Fetal Weight (EFW): ,DCW_241501.doc,numeric,grams,,,,,,PhenX,PX241501080000,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Medical_Record_Abstraction_Ultrasound_Date,Date of ultrasound: ,DCW_241501.doc,date,,,,,,,PhenX,PX241501090000,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Medical_Record_Abstraction_Gestational_Age_Weeks,Gestational Age: ,DCW_241501.doc,numeric,weeks,,,,,,PhenX,PX241501100100,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Medical_Record_Abstraction_Gestational_Age_Days,Gestational Age: ,DCW_241501.doc,numeric,days,,,,,,PhenX,PX241501100200,,,,,
PX241501_Fetal_Growth_Assessment_Estimated_Weight_Medical_Record_Abstraction,Estimated Fetal Weight: ,DCW_241501.doc,numeric,grams,,,,,,PhenX,PX241501110000,,,,,
