VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,
PX250201_Auditory_Perception_Noise_Exposure_Hearing_Rating,"Which statement best describes {your/SP’s} hearing (without a hearing aid or other listening devices)? Would you say {your/his/her} hearing is excellent, good, that {you have/s/he has} a little trouble, moderate trouble, a lot of trouble, or {are you/is s/he} deaf?",DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201010000,,,,,1 = EXCELLENT ,2 = GOOD ,3 = A LITTLE TROUBLE ,4 = MODERATE HEARING TROUBLE ,5 = A LOT OF TROUBLE ,6 = DEAF ,77 = REFUSED ,99 = DON’T KNOW ,
PX250201_Auditory_Perception_Noise_Exposure_Hearing_Without_Face_Whisper,Can {you/SP} usually hear and understand what a person says without seeing his or her face if that person whispers to {you/him/her} from across a quiet room?,DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201020000,,,,,1 = YES ,2 = NO ,7 = REFUSED ,9 = DON'T KNOW ,,,,,
PX250201_Auditory_Perception_Noise_Exposure_Hearing_Without_Face_Normal_Voice,Can {you/SP} usually hear and understand what a person says without seeing his or her face if that person talks in a normal voice to {you/him/her} from across a quiet room?,DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201030000,,,,,1 = YES ,2 = NO ,7 = REFUSED ,9 = DON'T KNOW ,,,,,
PX250201_Auditory_Perception_Noise_Exposure_Hearing_Without_Face_Shouting,Can {you/SP} usually hear and understand what a person says without seeing his or her face if that person shouts to {you/him/her} from across a quiet room?,DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201040000,,,,,1 = YES ,2 = NO ,7 = REFUSED ,9 = DON'T KNOW ,,,,,
PX250201_Auditory_Perception_Noise_Exposure_Hearing_Without_Face_Better_Ear,"Can {you/SP} usually hear and understand what a person says without seeing his or her face if that person speaks loudly into {your/his/her} better ear? INTERVIEWER: IF THE INTERVIEWEE HEARS BETTER IN ONE EAR THAN THE OTHER, RECORD THE RESPONSE FOR SPEAKING LOUDLY INTO THE BETTER EAR.",DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201050000,,,,,1 = YES ,2 = NO ,7 = REFUSED ,9 = DON'T KNOW ,,,,,
PX250201_Auditory_Perception_Noise_Exposure_Conversation_Background_Noise_Difficulty,"How often {do you/does SP} find it difficult to follow a conversation if there is background noise, for example, when other people are talking, TV or radio is on, or children are playing? Would you say... ",DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201060000,,,,,1 = always ,2 = usually ,3 = about half the time ,4 = seldom ,5 = never  ,7 = REFUSED ,9 = DON’T KNOW ,,
PX250201_Auditory_Perception_Noise_Exposure_Frustration,How often does {your/SP’s} hearing cause {you/him/her} to feel frustrated when talking to members of {your/his/her} family or to friends? Would you say...,DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201070000,,,,,1 = always ,2 = usually ,3 = about half the time ,4 = seldom ,5 = never  ,7 = REFUSED ,9 = DON’T KNOW ,,
PX250201_Auditory_Perception_Noise_Exposure_Ear_Infections,{Have you/Has SP} ever had 3 = or more ear infections? Please include ear infections {you/he/she} may have had when {you were/he was/she was} a child.,DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201080000,,,,,1 = YES ,2 = NO ,7 = REFUSED ,9 = DON'T KNOW ,,,,,
PX250201_Auditory_Perception_Noise_Exposure_Tube_Drain_Fluid,{Have you/Has SP} ever had a tube placed in {your/his/her} ear to drain the fluid from {your/his/her} ear?,DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201090000,,,,,1 = YES ,2 = NO ,7 = REFUSED ,9 = DON'T KNOW ,,,,,
PX250201_Auditory_Perception_Noise_Exposure_Hearing_Specialist_Testing,"A hearing test by a specialist is one that is done in a sound proof booth or room, or with headphones. Hearing specialists include audiologists, ear nose and throat doctors, and trained technicians or occupational nurses. When was the last time {you had/SP had} {your/his/her} hearing tested by a hearing specialist? READ CATEGORIES IF NECESSARY",DCW_250201.doc,encoded values,,,,,,,PhenX,PX250201100000,,,,,1 = LESS THAN A YEAR AGO,1 = 1 = YEAR TO 4 = YEARS AGO ,3 = 5 = TO 9 = YEARS AGO ,4 = TEN OR MORE YEARS AGO ,5 = NEVER ,7 = REFUSED ,9 = DON’T KNOW ,,
