VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,
PX250601_Falls_Describe_Event,"Could you please describe to me, what happened when you fell on [DATE OF FALL].",DCW_250601.doc,string,,,,,,,PhenX,PX250601010100,,,,,,,,,,,,,,,,,,,,,,
PX250601_Falls_Activity,What were you doing (when you fell)?,DCW_250601.doc,string,,,,,,,PhenX,PX250601010200,,,,,,,,,,,,,,,,,,,,,,
PX250601_Falls_Location,Where were you (exactly) when you fell?,DCW_250601.doc,string,,,,,,,PhenX,PX250601010300,,,,,,,,,,,,,,,,,,,,,,
PX250601_Falls_Inside_Outside,"Did the fall happen inside, or outside?",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601010400,,,,,1 = Inside,2 = Outside,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,
PX250601_Falls_Inside_Ground_Conditions,"[IF INSIDE FALL] Was the surface of the ground (floor) that you fell on wet or dry?  [IF OUTSIDE FALL] Was the surface of the ground (floor) that you fell on wet, dry, icy, or have snow?",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601010500,,,,,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,,,
PX250601_Falls_Slip_Trip,"When you fell, did you slip or trip on something (such as table leg, irregularity in floor or sidewalk surface, step, curb, ladder, clothing, or pet)? RECORD YES OR NO.",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601010600,,,,,0 = No,1 = Yes,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,
PX250601_Falls_Completely,"Did you fall all the way fall to the floor, ground or other lower level when you fell?",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601020000,,,,,"0 = No, participant did not fall to the ground [GO TO Q3]","1 = Yes, participant fell all the way to the ground [GO TO Q3]",8 = Refused [GO TO Q3],9 = Don’t know/non-valid response [GO TO Q3],,,,,,,,,,,,,,
PX250601_Falls_Shoes_Type,What type of shoes were you wearing (if any) when you fell?,DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601030100,,,,,"1 = Barefoot, wasn’t wearing shoes or socks","2 = Socks, stockings, nylons or hose","3 = Athletic shoes, sneakers (tied or Velcro)",4 = Keds or similar flat-sole canvas shoe (tied or Velcro),"5 = Tied oxford shoes, or other tied shoe or buckle shoes (tied or Velcro)","6 = Slip-on shoe, loafer",7 = Slippers,8 = Pumps or high-heels,9 = Sandals,10 = Work boot or other boot with shoelaces,11 = Boots (pull-on),12 = Thongs or flip-flops,"13 = Special shoe (molded, brace, Aliplast shoe)",88 = Refused,99 = Don’t know,,,
PX250601_Falls_Shoes_Type_Describe,What type of shoes were you wearing (if any) when you fell?,DCW_250601.doc,string,,,,,,,PhenX,PX250601030200,,,,,,,,,,,,,,,,,,,,,,
PX250601_Falls_Outside_Proximity_Home,"[only ask if R fell OUTDOORS, based on her/his description of fall]: When you fell (outdoors), which one of the following best describes how close you were to your home, when you fell? (Were you¿",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601040000,,,,,1 = Just outside your home?,"2 = Not right outside your home, but on the same block as your home? (within 400 feet)","3 = More than a block from home, but within 6 blocks (½ mile) of your home? (more than 400 feet, but less than ½ mile)",4 = More than 6 blocks (½ mile) away from your home?,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,
