VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,
PX251501_Smell_Taste_Breastfeeding,Are you currently pregnant or breastfeeding a baby?,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010100,,,,,Yes,No,,,,,,,,
PX251501_Smell_Taste_Problems_Nose,"Today, do you have any of the following problems with your nose? ",DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010200,,,,,Sneeze frequently,"Green, yellow, or brown mucus discharge",Completely blocked-up nose,Sinus pain,A head cold or runny nose from the flu,Don't Know,,,,
PX251501_Smell_Taste_Nose_Blocked_Side,"Is your nose blocked-up on both sides, or on just one side?",DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010300,,,,,Both sides,One side,Nether,,,,,,,
PX251501_Smell_Taste_Item_One,The odor Item 1 smells most like,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010400,,,,,Lemon,Chocolate,Smoke,Black Pepper,,,,,,
PX251501_Smell_Taste_Item_Two,The odor Item 2 smells most like,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010500,,,,,Strawberry,Garlic,Leather,Gasoline,,,,,,
PX251501_Smell_Taste_Item_Three,The odor Item 3 smells most like,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010600,,,,,Garlic,Grass,Smoke,Peach,,,,,,
PX251501_Smell_Taste_Item_Four,The odor Item 4 smells most like,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010700,,,,,Mint,A flower,Leather,Apple,,,,,,
PX251501_Smell_Taste_Item_Five,The odor Item 5 smells most like,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010800,,,,,Soap ,Black Pepper,Leather,Peanut,,,,,,
PX251501_Smell_Taste_Item_Six,The odor Item 6 smells most like,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501010900,,,,,Gasoline,Grape ,Rose,Peanut,,,,,,
PX251501_Smell_Taste_Item_Seven,The odor Item 7 smells most like,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501011000,,,,,Chocolate,Strawberry,Onion ,Fruit Punch,,,,,,
PX251501_Smell_Taste_Item_Eight,The odor Item 8 smells most like,DCW_251501.doc,enumerated ,,,,,,,PhenX,PX251501011100,,,,,Orange,Cinnamon,Cola,Natural Gas,,,,,,
PX251501_Smell_Taste_Twelve_Months_Smell,"The next questions are about {your/SP’s} sense of smell. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to smell, such as not being able to smell things or things not smelling the way they are supposed to?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020100,,,,,1 = YES,2 = NO,7 = REFUSED,9 = DON’T KNOW,,,,,,
PX251501_Smell_Taste_Smell_Compare,"How would {you/SP} rate {your/his/her} ability to smell now as compared to when {you were/he was/she was} 25 years old? Is it better, worse or is there no change?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020200,,,,,1 = BETTER NOW,2 = WORSE NOW,3 = NO CHANGE,7 = REFUSED,9 = DON’T KNOW,,,,,
PX251501_Smell_Taste_Smells_Bother,Do some smells bother {you/SP} although they do not bother other people?,DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020300,,,,,1 = YES,2 = NO,7 = REFUSED,9 = DON’T KNOW,,,,,,
PX251501_Smell_Taste_Unpleasent,"{Do you/Does SP} sometimes smell an unpleasant, bad or burning odor when nothing is there?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020400,,,,,1 = YES,2 = NO,7 = REFUSED,9 = DON’T KNOW,,,,,,
PX251501_Smell_Taste_Smell_Always_Come_Go,Is the problem with {your/SP’s} ability to smell always there or does it come and go?,DCW_251501.doc,encoded value,,,,,ASK IF Q2.1 = 1 & Q2.2 = 2 & Q2.4 = 1,,PhenX,PX251501020500,,,,,1 = IT IS ALWAYS THERE,2 = IT COMES AND GOES,3 = I HAVE A PROBLEM ONLY WITH A COLD,7 = REFUSED,9 = DON’T KNOW,,,,,
PX251501_Smell_Taste_Twelve_Months_Taste,"The next questions are about {your/SP’s} sense of taste. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to taste sweet, sour, salty or bitter foods and drinks?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020600,,,,,1 = YES,2 = NO,7 = REFUSED,9 = DON’T KNOW,,,,,,
PX251501_Smell_Taste_Salt,"How {is your/is SP’s} ability to taste salt in foods like potato chips or pretzels now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020701,,,,,1 = BETTER NOW,2 = WORSE NOW,3 = NO CHANGE,7 = REFUSED,9 = DON’T KNOW,,,,,
PX251501_Smell_Taste_Sour,"How {is your/is SP’s} ability to taste sourness in foods like lemons or vinegar now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020702,,,,,1 = BETTER NOW,2 = WORSE NOW,3 = NO CHANGE,7 = REFUSED,9 = DON’T KNOW,,,,,
PX251501_Smell_Taste_Sweet,"How {is your/is SP’s} ability to taste sweetness in foods like peaches or ice cream now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020703,,,,,1 = BETTER NOW,2 = WORSE NOW,3 = NO CHANGE,7 = REFUSED,9 = DON’T KNOW,,,,,
PX251501_Smell_Taste_Bitter,"How {is your/is SP’s} ability to taste bitterness in drinks like unsweetened black coffee now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020704,,,,,1 = BETTER NOW,2 = WORSE NOW,3 = NO CHANGE,7 = REFUSED,9 = DON’T KNOW,,,,,
PX251501_Smell_Taste_Ability_Compared_Twenty_Five,"Is {your/SP’s} ability to taste food flavors such as chocolate, vanilla or strawberry as good as when {you were/he was/she was} 25 years old?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020800,,,,,1 = YES,2 = NO,7 = REFUSED,9 = DON’T KNOW,,,,,,
PX251501_Smell_Taste_Twelve_Months_Taste_Not_Go_Away,During the past 12 months {have you/has SP} had a taste or other sensation in {your/his/her} mouth that does not go away?,DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501020900,,,,,1 = YES,2 = NO,7 = REFUSED,9 = DON’T KNOW,,,,,,
PX251501_Smell_Taste_Describe,Please describe the taste or other sensation in {your/SP’s} mouth that does not go away. Would {you/he/she} say it is?,DCW_251501.doc,encoded value,,,,,ASK IF Q2.6 = 1 & Q2.7 = 2 & Q2.9 = 1,,PhenX,PX251501021000,,,,,1 = sweet,2 = sour,3 = salty,4 = bitter,5 = metallic,6 = burning or tingling,7 = bad or foul,8 = or something else,7 = REFUSED,9 = DON’T KNOW
PX251501_Smell_Taste_Twelve_Months_Problem_Life,"During the past 12 months, {have you/has SP} experienced a problem with {your/his/her} general health, work or {your/his/her} enjoyment of life because of a problem with {your/his/her) ability to taste or smell?",DCW_251501.doc,encoded value,,,,,,,PhenX,PX251501021100,,,,,1 = YES,2 = NO,7 = REFUSED,9 = DON’T KNOW,,,,,,
