"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX290701_Social_Vulnerability_Community_Resilience_State_FIPS","State-level FIPS code ","DCW_290701.doc","string","","","","","","","PhenX","PX290701010000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_State_Name","State name ","DCW_290701.doc","enumerated","","","","","","","PhenX","PX290701020000","","","","","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"PX290701_Social_Vulnerability_Community_Resilience_State","State abbreviation","DCW_290701.doc","enumerated","","","","","","","PhenX","PX290701030000","","","","","AL","AK","AZ","AR","CA","CO","CT","DE","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"PX290701_Social_Vulnerability_Community_Resilience_County_FIPS","County-level FIPS code","DCW_290701.doc","string","","","","","","","PhenX","PX290701040000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_County_Name","County name","DCW_290701.doc","string","","","","","","","PhenX","PX290701050000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_Tract_FIPS","Tract-level FIPS code","DCW_290701.doc","string","","","","","","","PhenX","PX290701060000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_Tract_County_State","Text description of tract, county, state","DCW_290701.doc","string","","","","","","","PhenX","PX290701070000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_Tract_Area","Tract area in square miles ","DCW_290701.doc","decimal","square miles","","","","","","PhenX","PX290701080000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_Population_Estimate","Population estimate, 2010-2014 ACS","DCW_290701.doc","integer","","","","","","","PhenX","PX290701090100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_Population_Estimate_MOE","Population estimate MOE, 2010-2014 ACS ","DCW_290701.doc","integer","","","","","","","PhenX","PX290701090200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_Housing_Units_Estimate","Housing units estimate, 2010-2014 ACS ","DCW_290701.doc","integer","","","","","","","PhenX","PX290701100100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_Housing_Units_Estimate_MOE","Housing units estimate MOE, 2010-2014 ACS ","DCW_290701.doc","integer","","","","","","","PhenX","PX290701100200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290701_Social_Vulnerability_Community_Resilience_Households_Estimate","Households estimate, 2010-2014 ACS ","DCW_290701.doc","integer","","","","","","","PhenX","PX290701110000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
