VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX300801_Parenting_Behavior_Child_Friendly_Talk_Mom,Please rate each item as to how often it TYPICALLY occurs in your home.   You have a friendly talk with your mom.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801010100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Friendly_Talk_Dad,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801010200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Tell_You_Good_Job,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents tell you that you are doing a good job.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801020000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Threaten_Punishment,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents threaten to punish you and then do not do it.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801030000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Mom_Helps_Special_Activities,"Please rate each item as to how often it TYPICALLY occurs in your home.   Your mom helps with some of your special activities (such as sports, boy/girl scouts, church youth groups).",DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801040100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Dad_Helps_Special_Activities,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801040200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Reward,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents reward or give something extra to you for behaving well.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801050000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Fail_Leave_Note,Please rate each item as to how often it TYPICALLY occurs in your home.   You fail to leave a note or let your parents know where you are going.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801060000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Mom_Fun_Things,Please rate each item as to how often it TYPICALLY occurs in your home.   You play games or do other fun things with your mom.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801070100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Dad_Fun_Things,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801070200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
