VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,
PX301301_Quality_Child_Home_Environment_Infant_Outside,If your child is age 0-2: About how often does your child have a chance to get out of the house?,DCW_301301.doc,enumerated,,,,,,,PhenX,PX301301010000,,,,,A few times a month or less,About once a week,A few times a week,4 or more times a week,Every day,,,,,,
PX301301_Quality_Child_Home_Environment_Number_Childrens_Books,About how many children's books does this child have?,DCW_301301.doc,enumerated,,,,,,,PhenX,PX301301020000,,,,,None,1-2 books,3-9 books,10-19 books,20 or more books,,,,,,
PX301301_Quality_Child_Home_Environment_Adult_Read_Stories,If your child is less than 10 years old: How often do you or another adult in your home get a chance to read stories to your child?,DCW_301301.doc,enumerated,,,,,,,PhenX,PX301301030000,,,,,Never,Several times a year,Several times a month,Once a week,About 3 times a week,Everyday,,,,,
PX301301_Quality_Child_Home_Environment_Adult_Grocery_Store,If your child is less than 6 years old: About how often do you or another adult in your home take your child to the grocery store?,DCW_301301.doc,enumerated,,,,,,,PhenX,PX301301040000,,,,,Hardly ever,Once a month,Once a week,Twice a week or more,,,,,,,
PX301301_Quality_Child_Home_Environment_Number_Soft_Toys,"If your child is less than 3 years old: About how many, if any, cuddly, soft or role-playing toys (like a doll) does your child have? (May be shared with sister or brother. )",DCW_301301.doc,integer,,,,,,,PhenX,PX301301050000,,,,,,,,,,,,,,,
PX301301_Quality_Child_Home_Environment_Number_Push_Pull_Toys,"If your child is less than 3 years old: About how many, if any, push or pull toys does your child have? (May be shared with sister or brother. )",DCW_301301.doc,integer,,,,,,,PhenX,PX301301060000,,,,,,,,,,,,,,,
PX301301_Quality_Child_Home_Environment_Meals_Family,How often does this child eat a meal with family members?,DCW_301301.doc,enumerated,,,,,,,PhenX,PX301301070000,,,,,Never,Once a month or less often,Once a week,Several times a week,Once a day,More than once a day,,,,,
PX301301_Quality_Child_Home_Environment_Talk_Infant_While_Working,"If your child is less than 3 years old: Children seem to demand attention when their parents are busy, doing housework, for example. How often do you talk to your child while you are working?",DCW_301301.doc,enumerated,,,,,,,PhenX,PX301301080000,,,,,Never talk to child when I'm working,Rarely talk to child when I'm working,Sometimes talk to child when I'm working,Often talk to child when I'm working,Always talk to child when I'm working,,,,,,
PX301301_Quality_Child_Home_Environment_Times_Spank,"If your child is less than 10 years old: Sometimes kids mind pretty well and sometimes they don't. About how many times, if any, have you had to spank your child in the past week? ",DCW_301301.doc,integer,,,,,,,PhenX,PX301301090000,,,,,,,,,,,,,,,
PX301301_Quality_Child_Home_Environment_Toddler_Number_Magazines,If your child is age 3-5: About how many magazines does your family get regularly?,DCW_301301.doc,enumerated,,,,,,,PhenX,PX301301100000,,,,,None,One,Two,Three,Four or more,,,,,,
