"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX310601_Patient_Results_Information_Source","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit?","DCW_310601.doc","enumerated","","","","","","","PhenX","PX310601010100","","","","","Family or friends","Facebook","Support Groups","My/my child’s other doctors","Internet search (i.e., Google, PubMed, etc.)","Books and other print media","Information provided by the doctor who ordered my/my child’s genetic test","Other","None","","",""
"PX310601_Patient_Results_Information_Source_Family_Friend","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? Family or Friends","DCW_310601.doc","encoded values","","","","","ASK ONLY IF Q1=\"Family or Friends\"","","PhenX","PX310601010200","","","","","1 = Not useful at all","2","3","4","5 = Very useful","","","","","","",""
"PX310601_Patient_Results_Information_Source_Facebook","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? Facebook","DCW_310601.doc","encoded values","","","","","ASK ONLY IF Q1=\"Facebook\"","","PhenX","PX310601010300","","","","","1 = Not useful at all","2","3","4","5 = Very useful","","","","","","",""
"PX310601_Patient_Results_Information_Source_Support_Group","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? Support groups","DCW_310601.doc","encoded values","","","","","ASK ONLY IF Q1=\"Support groups\"","","PhenX","PX310601010400","","","","","1 = Not useful at all","2","3","4","5 = Very useful","","","","","","",""
"PX310601_Patient_Results_Information_Source_Other_Doctor","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? My/my child’s other doctors","DCW_310601.doc","encoded values","","","","","ASK ONLY IF Q1=\"My/my child's other doctors\"","","PhenX","PX310601010500","","","","","1 = Not useful at all","2","3","4","5 = Very useful","","","","","","",""
"PX310601_Patient_Results_Information_Source_Internet","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? Internet search (i.e., Google, PubMed, etc.)","DCW_310601.doc","encoded values","","","","","ASK ONLY IF Q1=\"Internet search (i.e., Google, PubMed, etc.)\"","","PhenX","PX310601010600","","","","","1 = Not useful at all","2","3","4","5 = Very useful","","","","","","",""
"PX310601_Patient_Results_Information_Source_Support_Book_Print_Media","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? Books and other print media","DCW_310601.doc","encoded values","","","","","ASK ONLY IF Q1=\"Books and other print media\"","","PhenX","PX310601010700","","","","","1 = Not useful at all","2","3","4","5 = Very useful","","","","","","",""
"PX310601_Patient_Results_Information_Source_Genetic_Test","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? Information provided by the doctor who ordered my/my child’s genetic test","DCW_310601.doc","encoded values","","","","","ASK ONLY IF Q1=\"Information provided by the doctor who ordered my/my child’s genetic test\"","","PhenX","PX310601010800","","","","","1 = Not useful at all","2","3","4","5 = Very useful","","","","","","",""
"PX310601_Patient_Results_Information_Source_Other","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? Other","DCW_310601.doc","encoded values","","","","","ASK ONLY IF Q1=\"Other\"","","PhenX","PX310601010901","","","","","1 = Not useful at all","2","3","4","5 = Very useful","","","","","","",""
"PX310601_Patient_Results_Information_Source_Other_Detail","Which of the following sources, if any, did you use to find more information about the genetic test results you received at your last visit? Other (please specify)","DCW_310601.doc","string","","","","","ASK ONLY IF Q1=\"Other\"","","PhenX","PX310601010902","","","","","","","","","","","","","","","",""
"PX310601_Patient_Results_Information_Source_Internet_Helpful_Website","If you used the Internet to search for information about the results, please list any websites you found helpful","DCW_310601.doc","string","","","","","ASK ONLY IF Q1=\"Internet search (i.e., Google, PubMed, etc.)\"","","PhenX","PX310601011000","","","","","","","","","","","","","","","",""
