"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX330301_Methods_Quitting_Smoking_Adult_Times_Stopped_Quitting","During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?","DCW_330301.doc","integer","","1","99","","","","PhenX","PX330301010100","","","","","","","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Times_Stopped_Quitting_Enumerated","During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good? Enumerated","DCW_330301.doc","enumerated","","","","","","","PhenX","PX330301010200","","","","","Don't know/refused","","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Surrender","When you last tried to quit smoking, did you do any of the following? Gave up cigarettes all at once","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020100","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Cut_Back","When you last tried to quit smoking, did you do any of the following? Gradually cut back on cigarettes","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020200","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Substitute_Electronic","When you last tried to quit smoking, did you do any of the following? Substituted some regular cigarettes with e-cigarettes","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020300","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Nicotine_Patch_Gum","When you last tried to quit smoking, did you do any of the following? Used nicotine patch or nicotine gum","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020400","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Switch_Electronic","When you last tried to quit smoking, did you do any of the following? Switched completely to e-cigarettes","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020500","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Switch_Mild","When you last tried to quit smoking, did you do any of the following? Switched to “mild” cigarettes","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020600","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Help_Doctor","When you last tried to quit smoking, did you do any of the following? Got help from a doctor or other health professional","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020700","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Medications","When you last tried to quit smoking, did you do any of the following? Used FDA-approved medications such as Zyban or Chantix","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020800","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Help_Website","When you last tried to quit smoking, did you do any of the following? Got help from a website such as Smokefree.gov","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301020900","","","","","1 = Yes","2 = No","","","","",""
"PX330301_Methods_Quitting_Smoking_Adult_Last_Attempt_Quit_Help_Telephone","When you last tried to quit smoking, did you do any of the following? Got help from a telephone quitline","DCW_330301.doc","encoded values","","","","","ASK IF \"During the past 3 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?\" > 0","","PhenX","PX330301021000","","","","","1 = Yes","2 = No","","","","",""
