"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX331001_Adherence_Medication_Often_Forget_Medicine","How often do you forget to take your medicine?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001010000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Decide_Not_Medicine","How often do you decide not to take your medicine?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001020000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Forget_Prescription_Fill","How often do you forget to get prescriptions filled?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001030000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Run_Out_Medicine","How often do you run out of medicine?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001040000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Skip_Dose_Medicine_Before_Doctor","How often do you skip a dose of your medicine before you go to the doctor?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001050000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Miss_Take_Medicine_Feel_Better","How often do you miss taking your medicine when you feel better?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001060000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Miss_Take_Medicine_Feel_Sick","How often do you miss taking your medicine when you feel sick?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001070000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Miss_Take_Medicine_Careless","How often do you miss taking your medicine when you are careless?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001080000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Change_Dose_Medicine_Suit_Need","How often do you change the dose of your medicines to suit your needs (like when you take more or less pill than you’re supposed to)?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001090000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Forget_Take_Medicine_More_Than_Once_Day","How often do you forget to take your medicine when youare supposed to take it more than once a day?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001100000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Not_Refill_Medicine_Cost_Money","How often do you put off refilling your medicines because they cost too much money?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001110000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
"PX331001_Adherence_Medication_Often_Plan_Ahead_Refill_Medicine","How often do you plan ahead and refill your medicines before they run out?","DCW_331001.doc","encoded values","","","","","","","PhenX","PX331001120000","","","","","1 = None | 2 = Some | 3 = Most | 4 = All"
