VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX550302_Drug_Availability_Marijuana,"How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle)  Marijuana (pot, weed)",DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010100,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Lsd,How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle)  LSD,DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010200,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Pcp,How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle)  PCP (angel dust),DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010300,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Mdma,How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) MDMA (ecstasy),DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010400,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Amphetamines,"How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) Amphetamines (uppers, pep pills, bennies, speed)",DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010500,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Sedatives,How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) Sedatives/barbiturates (downers),DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010600,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Tranquilizers,"How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) Tranquilizers (Librium®, Valium®, Xanax®, etc.)",DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010700,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Crack,"How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) ""Crack"" cocaine",DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010800,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Cocaine,How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) Cocaine in powder form,DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302010900,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Heroin,How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) Heroin,DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302011000,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Other_Narcotic,"How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) Some other narcotic (codeine, Vicodin®, OxyContin®, Percocet®, etc.)",DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302011100,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
PX550302_Drug_Availability_Crystal_Meth,"How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) Crystal meth (""ice"")",DCW_550302.doc,encoded values,,,,,,,PhenX,PX550302011200,,,,,1 = Probably Impossible,2 = Very Difficult,3 = Fairly Difficult,4 = Fairly Easy,5 = Very Easy,"8 = Can’t Say, Drug Unfamiliar",,,,,,,,,
