VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Ever,"Have you ever gone anywhere or seen anyone for a reason that was related in any way to your use of medicines or drugs - a physician, counselor, Narcotics Anonymous, or any other community agency or professional?",DCW_550702.doc,encoded values,,,,,,,PhenX,PX550702010000,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Twelve_Step_Meeting_Ever,"In your entire life, did you EVER go to a Narcotics or Cocaine Anonymous, Alcoholics Anonymous or any 12- Step meeting?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020101,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Twelve_Step_Meeting_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.1.1 = Yes,,PhenX,PX550702020102,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Twelve_Step_Meeting_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020103,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Twelve_Step_Meeting_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Twelve_Step_Meeting_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020105,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Social_Service_Ever,"In your entire life, did you EVER go to a family services or another social service agency?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020201,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Social_Service_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.2.1 = Yes,,PhenX,PX550702020202,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Social_Service_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020203,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Social_Service_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Social_Service_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020205,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Detox_Clinic_Ever,"In your entire life, did you EVER go to a drug or alcohol detoxification ward or clinic?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020301,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Detox_Clinic_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.3.1 = Yes,,PhenX,PX550702020302,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Detox_Clinic_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020303,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Detox_Clinic_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Detox_Clinic_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020305,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
