VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,VARIABLE_TERM,ORDER,VALUES,,,,,,,,,,,,,,,,
PX651301_EDDS5_ThreeMonths_Felt_Fat,"Over the past 3 months, have you felt fat?",DCW_651301.doc,encoded values,,,,,,,PhenX,PX651301010000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Extremely,,,,,,,,,,
PX651301_EDDS5_ThreeMonths_Fear_GainWeight,"Over the past 3 months, have you had a definite fear that you might gain weight or become fat?",DCW_651301.doc,encoded values,,,,,,,PhenX,PX651301020000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Extremely,,,,,,,,,,
PX651301_EDDS5_ThreeMonths_WeightShape_Influence,"Over the past 3 months, has your weight or shape influenced how you judge yourself as a person?",DCW_651301.doc,encoded values,,,,,,,PhenX,PX651301030000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Extremely,,,,,,,,,,
PX651301_EDDS5_ThreeMonths_UnusualAmount,"During the past 3 months have there been times when you have eaten what other people would regard as an unusually large amount of food (e.g., a pint of ice cream) given the circumstances?",DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301040000,,Yes,No,,,,,,,,,,,,,,,
PX651301_EDDS5_ThreeMonths_UnusualAmount_LossOfControl,"During the times when you ate an unusually large amount of food, did you experience a loss of control (e.g., felt you couldn't stop eating or control what or how much you were eating?",DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301050000,,Yes,No,,,,,,,,,,,,,,,
PX651301_EDDS5_ThreeMonths_UnusualAmount_Frequency,How many times per month on average over the past 3 months have you eaten an unusually large amount of food and experienced a loss of control?,DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301060000,,0,1,2,3,4,5,6,7,8,9,10,11,12,13+,,,
PX651301_EDDS5_Episodes_LossOfControl_EatRapidly,"During episodes of overeating with a loss of control, did you eat much more rapidly than normal?",DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301070000,,Yes,No,,,,,,,,,,,,,,,
PX651301_EDDS5_Episodes_LossOfControl_UncomfortablyFull,"During episodes of overeating with a loss of control, did you eat until you felt uncomfortably full?",DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301080000,,Yes,No,,,,,,,,,,,,,,,
PX651301_EDDS5_Episodes_LossOfControl_NotHungry,"During episodes of overeating with a loss of control, did you eat large amounts of food when you didn't feel physically hungry?",DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301090000,,Yes,No,,,,,,,,,,,,,,,
PX651301_EDDS5_Episodes_LossOfControl_EatAlone,"During episodes of overeating with a loss of control, did you eat alone because you were embarrassed by how much you were eating?",DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301100000,,Yes,No,,,,,,,,,,,,,,,
PX651301_EDDS5_Episodes_LossOfControl_FeelDisgustedDepressed,"During episodes of overeating with a loss of control, did you feel disgusted with yourself, depressed, or very guilty after overeating?",DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301110000,,Yes,No,,,,,,,,,,,,,,,
PX651301_EDDS5_Episodes_LossOfControl_FeelUpset,"If you have episodes of uncontrollable overeating, does it make you very upset?",DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301120000,,Yes,No,,,,,,,,,,,,,,,
PX651301_EDDS5_ThreeMonths_Frequency_Vomit,How many times per month on average over the past 3 months have you made yourself vomit?,DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301130000,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+
PX651301_EDDS5_ThreeMonths_Frequency_Laxatives,How many times per month on average over the past 3 months have you used laxatives or diuretics?,DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301140000,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+
PX651301_EDDS5_ThreeMonths_Frequency_Fasting,How many times per month on average over the past 3 months have you fasted (skipped at least 2 meals in a row)?,DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301150000,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+
PX651301_EDDS5_ThreeMonths_Frequency_Exercise,How many times per month on average over the past 3 months have you engaged in more intense exercise specifically to counteract the effects of overeating?,DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301160000,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+
PX651301_EDDS5_ThreeMonths_Frequency_LateNight,How many times per month on average over the past 3 months have you eaten after awakening from sleep or eaten an unusually large amount of food after your evening meal and felt distressed by the night eating?,DCW_651301.doc,enumerated,,,,,,,PhenX,PX651301170000,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+
PX651301_EDDS5_Eating_Impact_On_Relationships,"How much do eating or body image problems impact your relationships with friends and family, work performance, and school performance?",DCW_651301.doc,encoded values,,,,,,,PhenX,PX651301180000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Extremely,,,,,,,,,,
PX651301_EDDS5_Weight,"How much do you weigh? If uncertain, please give your best estimate.",DCW_651301.doc,decimal,kilograms,,,,,,PhenX,PX651301190000,,,,,,,,,,,,,,,,,,
