VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,
PX710601_Pleasure_Television_Radio,I would enjoy my favourite television or radio programme:,DCW_710601.doc,string,,,,,,,PhenX,PX710601010000,,,,,Strongly disagree,Disagree,Agree,Strongly disagree
PX710601_Pleasure_Family_Friends,I would enjoy being with my family or close friends:,DCW_710601.doc,string,,,,,,,PhenX,PX710601020000,,,,,Definitely agree,Agree,Disagree,Strongly disagree
PX710601_Pleasure_Hobbies_Pastimes,I would find pleasure in my hobbies and pastimes:,DCW_710601.doc,string,,,,,,,PhenX,PX710601030000,,,,,Strongly disagree,Disagree,Agree,Strongly disagree
PX710601_Pleasure_Enjoy_Favourite_Meal,I would be able to enjoy my favourite meal:,DCW_710601.doc,string,,,,,,,PhenX,PX710601040000,,,,,Definitely agree,Agree,Disagree,Strongly disagree
PX710601_Pleasure_Bath_Shower,I would enjoy a warm bath or refreshing shower:,DCW_710601.doc,string,,,,,,,PhenX,PX710601050000,,,,,Definitely agree,Agree,Disagree,Strongly disagree
PX710601_Pleasure_Scent,I would find pleasure in the scent of flowers or the smell of a fresh sea breeze or freshly baked bread:,DCW_710601.doc,string,,,,,,,PhenX,PX710601060000,,,,,Strongly disagree,Disagree,Agree,Strongly disagree
PX710601_Pleasure_Smiling_Faces,I would enjoy seeing other people’s smiling faces:,DCW_710601.doc,string,,,,,,,PhenX,PX710601070000,,,,,Definitely agree,Agree,Disagree,Strongly disagree
PX710601_Pleasure_Looking_Smart_Appearance,I would enjoy looking smart when I have made an effort with my appearance:,DCW_710601.doc,string,,,,,,,PhenX,PX710601080000,,,,,Strongly disagree,Disagree,Agree,Strongly disagree
PX710601_Pleasure_Reading,"I would enjoy reading a book, magazine or newspaper:",DCW_710601.doc,string,,,,,,,PhenX,PX710601090000,,,,,Definitely agree,Agree,Disagree,Strongly disagree
PX710601_Pleasure_Tea_Coffee_Drink,I would enjoy a cup of tea or coffee or my favourite drink:,DCW_710601.doc,string,,,,,,,PhenX,PX710601100000,,,,,Strongly disagree,Disagree,Agree,Strongly disagree
PX710601_Pleasure_Small_Things,"I would find pleasure in small things, e.g., bright sunny day, a telephone call from a friend:",DCW_710601.doc,string,,,,,,,PhenX,PX710601110000,,,,,Strongly disagree,Disagree,Agree,Strongly disagree
PX710601_Pleasure_Landscape_View,I would be able to enjoy a beautiful landscape or view:,DCW_710601.doc,string,,,,,,,PhenX,PX710601120000,,,,,Definitely agree,Agree,Disagree,Strongly disagree
PX710601_Pleasure_Helping_Others,I would get pleasure from helping others:,DCW_710601.doc,string,,,,,,,PhenX,PX710601130000,,,,,Strongly disagree,Disagree,Agree,Strongly disagree
PX710601_Pleasure_Receive_Praise,I would feel pleasure when I receive praise from other people:,DCW_710601.doc,string,,,,,,,PhenX,PX710601140000,,,,,Definitely agree,Agree,Disagree,Strongly disagree
PX710601_Pleasure_Scoring,Either of the Disagree responses receives a score of 1 and either of the Agree responses receives a score of 0. The SHAPS is scored as the sum of the 14 items so that total scores ranged from 0 to 14. A higher total SHAPS score indicated higher levels of anhedonia. A cut-off score of 2 provides the best discrimination between “normal” and “abnormal” level of hedonic tone.,DCW_710601.doc,integer,,0,14,,,,PhenX,PX710601150000,,,,,,,,
