"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX730402_Passive_Exposures_To_Tobacco_Products_Past_7_Days_Other_Person_Smoke_Inside_Home","Not counting decks, porches, or garages, during the past 7 days, that is, since last [TODAY'S DAY OF WEEK], on how many days did someone other than you smoke tobacco inside your home while you were at home?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402010000","","","","","0 = NUMBER OF DAYS","88 = NONE","77 = DON'T KNOW/NOT SURE","99 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Past_7_Days_Other_Person_Smoke_Inside_Home_Number","Not counting decks, porches, or garages, during the past 7 days, that is, since last [TODAY'S DAY OF WEEK], on how many days did someone other than you smoke tobacco inside your home while you were at home? Number of days","DCW_730402.doc","integer","days","0","7","","ASK IF \"Not counting decks, porches, or garages, during the past 7 days, that is, since last [TODAY'S DAY OF WEEK], on how many days did someone other than you smoke tobacco inside your home while you were at home?\" = '0'","","PhenX","PX730402010100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Inside_Home_Smoking_Allowed","Not counting decks, porches, or garages, inside your home, is smoking …?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402020000","","","","","1 = Always allowed","2 = Allowed only at some times or in some places","3 = Never allowed","7 = DON'T KNOW/NOT SURE","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Past_7_Days_Smoke_Inside_Home_Not_Supposed_To","Not counting decks, porches, or garages, to your knowledge, during the past 7 days, that is, since last [TODAY'S DAY OF WEEK], has anyone, including yourself, smoked tobacco inside your home when he or she was not supposed to?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402030000","","","","","1 = YES","2 = NO","7 = DON'T KNOW/NOT SURE","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Job_Status_One_Or_More","Do you currently have one job or more than one job?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402040000","","","","","1 = ONE JOB","2 = MORE THAN ONE JOB","7 = DON'T KNOW","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Work_Place","Most of the time, do you work…?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402050000","","","","","01 = Outdoors","02 = In a vehicle","03 = Indoors at home","04 = Indoors in a place like an office building, retail store, restaurant, or factory","96 = Somewhere else (Specify)","77 = DON'T KNOW/NOT SURE","99 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Worksplace_Indoor_Smoking_Area","At your workplace, is smoking in indoor areas…?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402060000","","","","","1 = Always allowed","2 = Allowed only at some times or in some places","3 = Never allowed","7 = DON'T KNOW/NOT SURE","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Worksplace_Outdoor_Smoking_Area","At your workplace, is smoking in outdoor areas…?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402070000","","","","","1 = Always allowed","2 = Allowed only at some times or in some places","3 = Never allowed","7 = DON'T KNOW/NOT SURE","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Workplace_Chewing_Tobacco_Use","At your workplace, is the use of chewing tobacco, snuff, dip, or snus …?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402080000","","","","","1 = Always allowed","2 = Allowed only at some times or in some places","3 = Never allowed","7 = DON'T KNOW/NOT SURE","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Past_30_Days_Tobacco_Use_Work_Not_Supposed_To","To your knowledge, during the past 30 days, that is, since [DATE FILL], has anyone, including yourself, used tobacco products of any kind, including electronic cigarettes, at your work when he or she was not supposed to?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402090000","","","","","1 = YES","2 = NO","7 = DON'T KNOW/NOT SURE","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Past_7_Days_Days_Ride_Other_Smoking","During the past 7 days, that is, since last [TODAY'S DAY OF WEEK], on how many days did you ride in a vehicle where someone other than you was smoking tobacco?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402100000","","","","","0 = NUMBER OF DAYS","88 = NONE","77 = DON'T KNOW/NOT SURE","99 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Vehicles_Owned_Leased_Smoking_Allowed","Not counting motorcycles, in the vehicles that you or family members who live with you own or lease, is smoking…","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402110000","","","","","1 = Always allowed in all vehicles","2 = Sometimes allowed in at least one vehicle","3 = Never allowed in any vehicle","8 = RESPONDENT'S FAMILY DOES NOT OWN OR LEASE A VEHICLE","7 = DON'T KNOW/NOT SURE","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Past_7_Days_Breathe_Smoke_Indoor_Outdoor_Public","Not counting times while you were at work, during the past 7 days, that is, since last [TODAY'S DAY OF WEEK], on how many days did you breathe the smoke from someone else who was smoking in an indoor or outdoor public place?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402120000","","","","","0 = NUMBER OF DAYS","88 = NONE","77 = DON'T KNOW/NOT SURE","99 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Past_7_Days_Used_Product_Indoor_Outdoor_Public_Not_Supposed_To","Not counting times while you were at work, to your knowledge, during the past 7 days, that is, since last [TODAY'S DAY OF WEEK], has anyone, including yourself, used tobacco of any kind in an indoor or outdoor public place when he or she was not supposed to?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402130000","","","","","1 = YES","2 = NO","7 = DON'T KNOW/NOT SURE","9 = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Current_Job_Employment_Status","Which best describes your current job or paid employment status?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402140000","","","","","1 = Work full-time at least 35 hours per week","2 = Work part-time 15 to 34 hours per week","3 = Work part-time less than 15 hours per week","4 = I don't currently work for pay","(-8) = DON'T KNOW","(-7) = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Recent_Smoke_Around_You_Work","How recently did someone smoke around you while you were at work?","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402150000","","","","","1 = Never","2 = Today","3 = In the past week","4 = In the past two weeks","5 = In the past month","6 = Longer than a month ago but within the past year","7 = More than a year ago","(-8) = DON'T KNOW","(-7) = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Childhood_Live_With_Regular_Smoker_Inside_Home","In your childhood, did you live with a regular smoker who smoked inside your home? Please think about anyone who smoked cigarettes, cigars, a pipe, or hookah.","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402160000","","","","","1 = Yes","2 = No","(-8) = DON'T KNOW","(-7) = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX730402_Passive_Exposures_To_Tobacco_Products_Anyone_Live_With_Now_Tobacco_Use","Does anyone who lives with you now do any of the following? Choose all that apply.","DCW_730402.doc","encoded values","","","","","","","PhenX","PX730402170000","","","","","1 = Smoke cigarettes","2 = Use e-cigarettes or other electronic nicotine products","3 = Use snus","4 = Use other types of smokeless tobacco, such as chewing tobacco, dip, spit, or chew","5 = Smoke traditional cigars, cigarillos, or filtered cigars","6 = Smoke hookah","7 = Smoke pipe tobacco","8 = Use IQOS","9 = Use any other form of tobacco","10 = No one who lives with me now uses any form of tobacco","(-8) = DON'T KNOW","(-7) = REFUSED","","","","","","","","","","","","","","","","","","","","","",""
