"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Visit_Store","Can you visit the store?","DCW_741002.doc","encoded values","","","","","","","PhenX","PX741002010000","","","","","1 = Yes","2 = No, store does not exist","3 = No, store is closed","4 = No, under 18 not allowed","5 = No, members only","6 = No, unsafe","7 = No, other reason not listed","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Store_Name_Match","Does the actual store name match the assigned store name?","DCW_741002.doc","enumerated","","","","","","","PhenX","PX741002021000","","","","","Yes","No - Enter correct name:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Store_Name_Match_Correct_Name","Does the actual store name match the assigned store name? No - Enter correct name:","DCW_741002.doc","string","","","","","ASK IF 'Does the actual store name match the assigned store name?' = 'No - Enter correct name:'","","PhenX","PX741002022000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Address_Match","Does the actual store address match the assigned store address?","DCW_741002.doc","enumerated","","","","","","","PhenX","PX741002031000","","","","","Yes","No - Enter correct name:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Address_Match_Correct_Name","Does the actual store address match the assigned store address? No - Enter correct name","DCW_741002.doc","string","","","","","ASK IF 'Does the actual store address match the assigned store address?' = 'No - Enter correct name:'","","PhenX","PX741002032000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Best_Store_Type","Choose one best store type:","DCW_741002.doc","enumerated","","","","","","","","PX741002040000","","","","","Convenience store with gas","Convenience store without gas","Drug store or pharmacy","Beer, wine, liquor store","Grocery store","Mass merchandiser","Tobacco shop","Vape shop","Other store type not listed","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store","Are there any tobacco products advertised anywhere outside the store? These are ads on windows/doors facing out, building, sidewalk, gas pumps or elsewhere.","DCW_741002.doc","enumerated","","","","","","","","PX741002051000","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Cigarettes_Nonmenthol","Please indicate which of the following products are ADVERTISED anywhere outside the store: Cigarettes - non-menthol","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002052000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Cigarettes_Menthol","Please indicate which of the following products are ADVERTISED anywhere outside the store: Cigarettes - menthol","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002053000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Cigarillos","Please indicate which of the following products are ADVERTISED anywhere outside the store: Cigarillos/little cigars/blunts","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002054000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Flavored_Cigarillos","Please indicate which of the following products are ADVERTISED anywhere outside the store: FLAVORED cigarillos/little cigars/blunts (including mint, menthol, or wintergreen)
","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002055000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Nonflavored_cigarillos","Please indicate which of the following products are ADVERTISED anywhere outside the store: NON-FLAVORED cigarillos/little cigars/blunts
","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002056000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Traditional_Cigars","Please indicate which of the following products are ADVERTISED anywhere outside the store: Traditional cigars","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002057000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Flavored_Traditional_Cigars","Please indicate which of the following products are ADVERTISED anywhere outside the store: FLAVORED traditional cigars (including mint, menthol, or wintergreen)","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002058000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Nonflavored_Traditional_Cigars","Please indicate which of the following products are ADVERTISED anywhere outside the store: NON-FLAVORED traditional cigars","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002059000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
