VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Recovered_Completely,Has your child recovered completely from the stroke?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702010000,,,,,Yes,"No - If no, please answer the following questions:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Problems_Strength_Coordination_Sensation,"Does your child have any problems with strength, coordination, or sensation including vision or hearing, as a result of the stroke? If yes, please choose which of the following are present in your child:",DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010101,,,,,Developmental delay,Abnormal tone,Weakness on one side of the body,Weakness on one side of the face,Unsteadiness on one side of the body,Difficulty with hearing,Difficulty with speaking clearly (problem with pronouncing words),"Difficulty with drinking, chewing, or swallowing",Loss of sensation on one side of the body,Other sensory problems,Difficulty with vision,Other problems with strength or coordination; Describe:______________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Problems_Strength_Coordination_SensationDescribe,"Does your child have any problems with strength, coordination, or sensation including vision or hearing, as a result of the stroke? If yes, please choose which of the following are present in your child: Please describe",DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Affect_Daily_Activities,Does the problem affect your child’s day-to-day activities?,DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010103,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_RightSide_Face_Body,Right side face or body,DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010104,,,,,Not Done = n/t,None = 0,Mild but no impact on function = 0.5,Moderate with some limitations with daily functions = 1,Severe or Profound with missing function = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_LeftSide_Face_Body,Left side face or body,DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010105,,,,,Not Done = n/t,None = 0,Mild but no impact on function = 0.5,Moderate with some limitations with daily functions = 1,Severe or Profound with missing function = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Difficulty_Expressing_Verbally,Does your child have difficulty expressing him/herself verbally? (Exclude dysarthrias or pronunciation problems),DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010201,,,,,Not Done = n/t,None = 0,Mild but no impact on function = 0.5,Moderate with some limitations with daily functions = 1,Severe or Profound with missing function = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Difficulty_Expressing_Verbally_Describe,Does your child have difficulty expressing him/herself verbally? (Exclude dysarthrias or pronunciation problems): Please describe,DCW_820702.doc,string,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Difficulty_Understanding,Does your child have difficulty understanding what is said to her/him?,DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010301,,,,,Not Done = n/t,None = 0,Mild but no impact on function = 0.5,Moderate with some limitations with daily functions = 1,Severe or Profound with missing function = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Difficulty_Understanding_Describe,Does your child have difficulty understanding what is said to her/him? Please describe,DCW_820702.doc,string,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Difficulty_Thinking_Behavior,Does your child have difficulty with his/her thinking or behavior?,DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010401,,,,,Not Done = n/t,None = 0,Mild but no impact on function = 0.5,Moderate with some limitations with daily functions = 1,Severe or Profound with missing function = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Difficulty_Thinking_Behavior_Describe,Does your child have difficulty with his/her thinking or behavior? Please describe,DCW_820702.doc,string,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
