"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX851001_Transfusion_Reaction_Date_Reaction_Occur","Date and time reaction occurred (dd-mon-yy hh:mm 24h format):","DCW_851001.doc","date","","","","","","","","PX851001010000","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Date_Reaction_Transfusion","Date and time of transfusion (dd-mon-yy hh:mm 24h format):","DCW_851001.doc","date","","","","","","","","PX851001020000","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Participant_Age","Age (Years):","DCW_851001.doc","integer","","","","","","","","PX851001030000","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Participant_Gender","Gender:","DCW_851001.doc","enumerated","","","","","","","","PX851001040000","","","","","Male","Female","Other Gender Expression","Refused","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Participant_Facility","Did the transfusion occur at your facility?","DCW_851001.doc","enumerated","","","","","","","","PX851001050000","","","","","Yes","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Circulatory_Overload_Case","Check all that occurred within 6 hours of cessation of transfusion (new onset or exacerbation):","DCW_851001.doc","enumerated","","","","","","","","PX851001060000","","","","","Acute respiratory distress (dyspnea, orthopnea, cough)","Elevated brain natriuretic peptide (BNP)","Elevated central venous pressure (CVP)","Evidence of left heart failure","Evidence of positive fluid balance","Radiographic evidence of pulmonary edema","","","","","","","",""
"PX851001_Transfusion_Reaction_Circulatory_Overload_Imputability_Relationship","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001070000","","","","","Patient has no other conditions to explain symptoms.","There are other potential causes present that could explain symptoms, but transfusion is the most likely cause.","Alternate explanations for symptoms are more likely, but transfusion cannot be ruled out.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Circulatory_Overload_Imputability_Cardiac","Does the patient have a history of cardiac insufficiency?","DCW_851001.doc","enumerated","","","","","","","","PX851001080000","","","","","Yes, the patient has a history of cardiac insufficiency that could explain the circulatory overload, but transfusion is just as likely to have caused the circulatory overload.","Yes, the patient has a history of pre-existing cardiac insufficiency that most likely explains circulatory overload.","No, the patient does not have a history of cardiac insufficiency.","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Circulatory_Overload_Imputability_Fluids","Did the patient receive other fluids in addition to the transfusion?","DCW_851001.doc","enumerated","","","","","","","","PX851001090000","","","","","Yes","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Lung_Injury_Case_Donor_HLA","Donor or unit HLA Specificity","DCW_851001.doc","enumerated","","","","","","","","PX851001100100","","","","","Not Done","Negative","Cognate or cross reacting antigen present","No cognate or cross reacting antigen present","Not tested for cognate antigen","","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Lung_Injury_Case_Donor_HNA","Donor or unit HNA specificity","DCW_851001.doc","enumerated","","","","","","","","PX851001100200","","","","","Not Done","Negative","Cognate or cross reacting antigen present","No cognate or cross reacting antigen present","Not tested for cognate antigen","","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Lung_Injury_Case_Recipient_HLA","Recipient HLA specificity","DCW_851001.doc","enumerated","","","","","","","","PX851001100300","","","","","Not Done","Negative","Cognate or cross reacting antigen present","No cognate or cross reacting antigen present","Not tested for cognate antigen","","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Lung_Injury_Case_Recipient_HNA","Recipient HNA specificity","DCW_851001.doc","enumerated","","","","","","","","PX851001100400","","","","","Not Done","Negative","Cognate or cross reacting antigen present","No cognate or cross reacting antigen present","Not tested for cognate antigen","","","","","","","","",""
