"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX880501_Fertility_Quality_Of_Life_Rate_Health","How would you rate your health?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501010000","","","","","Very Poor","Poor","Neither Good nor Poor","Good","Very Good","",""
"PX880501_Fertility_Quality_Of_Life_Satisfied","Are you satisfied with your quality of life?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501020000","","","","","Very Dissatisfied","Dissatisfied","Neither Satisfied Nor Dissatisfied","Satisfied","Very Satisfied","",""
"PX880501_Fertility_Quality_Of_Life_Attention_Concentration_Impaired_By_Thoughts","Are your attention and concentration impaired by thoughts of infertility?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501030000","","","","","Completely","A Great Deal","Moderately","Not Much","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Cannot_Move_Ahead_Other_Life_Goals","Do you think you cannot move ahead with other life goals and plans because of fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501040000","","","","","Completely","A Great Deal","Moderately","Not Much","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Feel_Drained_Worn_Out","Do you feel drained or worn out because of fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501050000","","","","","Completely","A Great Deal","Moderately","Not Much","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Feel_Able_Cope","Do you feel able to cope with your fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501060000","","","","","Completely","A Great Deal","Moderately","Not Much","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Satisfied_Support_Receive_From_Friends","Are you satisfied with the support you receive from friends with regard to your fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501070000","","","","","Very Dissatisfied","Dissatisfied","Neither Satisfied Nor Dissatisfied","Satisfied","Very Satisfied","",""
"PX880501_Fertility_Quality_Of_Life_Satisfied_Sexual_Relationship","Are you satisfied with your sexual relationship even though you have fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501080000","","","","","Very Dissatisfied","Dissatisfied","Neither Satisfied Nor Dissatisfied","Satisfied","Very Satisfied","",""
"PX880501_Fertility_Quality_Of_Life_Problems_Cause_Jealousy_Resentment","Do your fertility problems cause feelings of jealousy and resentment?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501090000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Experience_Grief_Feelings_Loss_Not_Able_Have_Child","Do you experience grief and/or feelings of loss about not being able to have a child (or more children)?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501100000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Fluctuate_Between_Hope_Despair","Do you fluctuate between hope and despair because of fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501110000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Socially_Isolated","Are you socially isolated because of fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501120000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Partner_Affectionate_With_Each_Other","Are you and your partner affectionate with each other even though you have fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501130000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Interfere_Day_Work_Obligations","Do your fertility problems interfere with your day-to-day work or obligations?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501140000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Feel_Uncomfortable_Attending_Social_Situations","Do you feel uncomfortable attending social situations like holidays and celebrations because of your fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501150000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Feel_Family_Understand","Do you feel your family can understand what you are going through?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501160000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Strengthened_Commitment_To_Partner","Have fertility problems strengthened your commitment to your partner?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501170000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
