"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX880701_Fertility_History_Ever_Pregnant","Have you and a partner ever become pregnant?","DCW_880701.doc","enumerated","","","","","","","PhenX","PX880701010000","","","","","No","Yes","","","","",""
"PX880701_Fertility_History_Number_Times_Pregnant","Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?","DCW_880701.doc","integer","","","","","ASK IF \"Have you and a partner ever become pregnant?\" = \"Yes\"","","PhenX","PX880701020000","","","","","","","","","","",""
"PX880701_Fertility_History_Pregnancy_1_Outcome","Pregnancy 1 - Outcome","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 1","","PhenX","PX880701030100","","","","","Live birth","Stillbirth","Miscarriage","Medical abortion","","",""
"PX880701_Fertility_History_Pregnancy_1_Age","Pregnancy 1 - Your age (years) at beginning of pregnancy","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 1","","PhenX","PX880701030200","","","","","Under 15","15-20","21-25","26-30","31-35","36 and over",""
"PX880701_Fertility_History_Pregnancy_1_Duration","Pregnancy 1 - Weeks pregnancy lasted","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 1","","PhenX","PX880701030300","","","","","Less than 12 weeks","12 - 24 weeks","25 - 32 weeks","33 - 37 weeks","38 - 40 weeks","",""
"PX880701_Fertility_History_Pregnancy_2_Outcome","Pregnancy 2 - Outcome","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 2","","PhenX","PX880701040100","","","","","Live birth","Stillbirth","Miscarriage","Medical abortion","","",""
"PX880701_Fertility_History_Pregnancy_2_Age","Pregnancy 2 - Your age (years) at beginning of pregnancy","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 2","","PhenX","PX880701040200","","","","","Under 15","15-20","21-25","26-30","31-35","36 and over",""
"PX880701_Fertility_History_Pregnancy_2_Duration","Pregnancy 2 - Weeks pregnancy lasted","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 2","","PhenX","PX880701040300","","","","","Less than 12 weeks","12 - 24 weeks","25 - 32 weeks","33 - 37 weeks","38 - 40 weeks","",""
"PX880701_Fertility_History_Pregnancy_3_Outcome","Pregnancy 3 - Outcome","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 3","","PhenX","PX880701050100","","","","","Live birth","Stillbirth","Miscarriage","Medical abortion","","",""
"PX880701_Fertility_History_Pregnancy_3_Age","Pregnancy 3 - Your age (years) at beginning of pregnancy","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 3","","PhenX","PX880701050200","","","","","Under 15","15-20","21-25","26-30","31-35","36 and over",""
"PX880701_Fertility_History_Pregnancy_3_Duration","Pregnancy 3 - Weeks pregnancy lasted","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 3","","PhenX","PX880701050300","","","","","Less than 12 weeks","12 - 24 weeks","25 - 32 weeks","33 - 37 weeks","38 - 40 weeks","",""
"PX880701_Fertility_History_Pregnancy_4_Outcome","Pregnancy 4 - Outcome","DCW_880701.doc","enumerated","","","","","ASK IF \"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?\" >= 4","","PhenX","PX880701060100","","","","","Live birth","Stillbirth","Miscarriage","Medical abortion","","",""
