"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX880801_Sexual_Function_Female_Interest_Activity","In the past 30 days, how interested have you been in sexual activity?","DCW_880801.doc","encoded values","","","","","","","PhenX","PX880801010000","","","","","1 = Not at all","2 = A little bit","3 = Somewhat","4 = Quite a bit","5 = Very","",",,,"
"PX880801_Sexual_Function_Female_Wanted_Activity","In the past 30 days, how often have you felt like you wanted to have sexual activity?","DCW_880801.doc","encoded values","","","","","","","PhenX","PX880801020000","","","","","1 = Never","2 = Rarely","3 = Sometimes","4 = Often","5 = Always","",",,,"
"PX880801_Sexual_Function_Female_Any_Activity","In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)","DCW_880801.doc","encoded values","","","","","","","PhenX","PX880801030000","","","","","1 = No","2 = Yes","","","","",",,,"
"PX880801_Sexual_Function_Female_No_Activity","There are many reasons why people may not have had sexual activity during the month. What are the reasons why you did not have sexual activity? Please read the list carefully and check every reason that applies to you, even if it happened only one time during the past 30 days.","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"1\"","","PhenX","PX880801040000","","","","","1 = Was not interested in having sexual activity","2 = Dryness or pain in or around my vagina","3 = Difficulties with orgasm/climax","4 = Don't enjoy sexual activity","5 = Health condition","6 = No partner","7 = Partner was away,8 = Partner was not interested in sexual activity,9 = Partner's health condition,10 = Some other reason (Specify)"
"PX880801_Sexual_Function_Female_No_Activity_Specify","There are many reasons why people may not have had sexual activity during the month. What are the reasons why you did not have sexual activity? Please read the list carefully and check every reason that applies to you, even if it happened only one time during the past 30 days. Specify","DCW_880801.doc","string","","","","","ASK IF \"There are many reasons why people may not have had sexual activity during the month. What are the reasons why you did not have sexual activity? Please read the list carefully and check every reason that applies to you, even if it happened only one time during the past 30 days.\" = \"10\"","","PhenX","PX880801040100","","","","","","","","","","",",,,"
"PX880801_Sexual_Function_Female_Lubricated_During_Intercourse","In the past 30 days, how often did you become lubricated (\"wet\") during sexual activity or intercourse?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801050000","","","","","5 = Almost always or always","4 = Most times (more than half the time)","3 = Sometimes (about half the time)","2 = A few times (less than half the time)","1 = Almost never or never","",",,,"
"PX880801_Sexual_Function_Female_Difficult_Maintain_Lubrication","In the past 30 days, how difficult was it to maintain your lubrication (\"wetness\") until completion of sexual activity or intercourse?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801060000","","","","","1 = Extremely difficult or impossible","2 = Very difficult","3 = Difficult","4 = Slightly difficult","5 = Not difficult","",",,,"
"PX880801_Sexual_Function_Female_Discomfort_Inside_Vagina","In the past 30 days, when you have had sexual activity, how much discomfort have you felt inside your vagina?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801070000","","","","","1 = None","2 = A little bit","3 = Some","4 = Quite a bit","5 = A lot","",",,,"
"PX880801_Sexual_Function_Female_Pain_Inside_Vagina","In the past 30 days, when you have had sexual activity, how much pain have you felt inside your vagina?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801080000","","","","","1 = None","2 = A little bit","3 = Some","4 = Quite a bit","5 = A lot","",",,,"
"PX880801_Sexual_Function_Female_Discomfort_Labia","In the past 30 days, when you have had sexual activity, how much discomfort have you had in your labia (lips around the opening of the vagina)?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801090000","","","","","1 = None","2 = A little bit","3 = Some","4 = Quite a bit","5 = A lot","",",,,"
"PX880801_Sexual_Function_Female_Discomfort_Clitoris","In the past 30 days, when you have had sexual activity, how much discomfort have you had in your clitoris (clit)?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801100000","","","","","1 = None","2 = A little bit","3 = Some","4 = Quite a bit","5 = A lot","",",,,"
"PX880801_Sexual_Function_Female_Often_Orgasm","In the past 30 days, how often have you been able to have an orgasm/climax when you wanted to?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801110000","","","","","0 = Have not tried to have an orgasm/climax","1 = Never","2 = Rarely","3 = Sometimes","4 = Often","5 = Always",",,,"
"PX880801_Sexual_Function_Female_Satisfying_Orgasm","In the past 30 days, how satisfying have your orgasms or climaxes been?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801120000","","","","","0 = Have not had an orgasm/climax","1 = Not at all","2 = A little bit","3 = Somewhat","4 = Quite a bit","5 = Very",",,,"
"PX880801_Sexual_Function_Female_Satisfied_Sex_Life","In the past 30 days, how satisfied have you been with your sex life?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801130000","","","","","1 = Not at all","2 = A little bit","3 = Somewhat","4 = Quite a bit","5 = Very","",",,,"
"PX880801_Sexual_Function_Female_Pleasure_Sex_Life","In the past 30 days, how much pleasure has your sex life given you?","DCW_880801.doc","encoded values","","","","","ASK IF \"In the past 30 days, did you have any type of sexual activity? (Examples of sexual activity are masturbation, oral sex, and sexual intercourse.)\" = \"2\"","","PhenX","PX880801140000","","","","","1 = None","2 = A little bit","3 = Some","4 = Quite a bit","5 = A lot","",",,,"
