VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,
PX910801_Hemophilia_Specific_Functional_Ability_Child_Sitting_Down,"In the previous month, did you have any difficulty, due to hemophilia, with sitting down (e.g. on a chair or couch)",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801010000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Sitting_Ground,"In the previous month, did you have any difficulty, due to hemophilia, with sitting on the ground (e.g. when watching television or playing)",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801020000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_With_Armrests,"In the previous month, did you have any difficulty, due to hemophilia, with rising from a char with armrests?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801030000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Without_Armrests,"In the previous month, did you have any difficulty, due to hemophilia, with rising from a chair without armrests?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801040000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Kneeling,"In the previous month, did you have any difficulty, due to hemophilia, with kneeling/squatting (bending your knees)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801050000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Squatting_Long_Period,"In the previous month, did you have any difficulty, due to hemophilia, with squatting for a long periods (knees not touching the ground)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801060000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Bending_Forward,"In the previous month, did you have any difficulty, due to hemophilia, with bending over forwards?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801070000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Standing_Short_Period,"In the previous month, did you have any difficulty, due to hemophilia, with standing still for a short period (less than 10 minutes; e.g., waiting in a queue in a shop)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801080000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Standing_Long_Period,"In the previous month, did you have any difficulty, due to hemophilia, with standing still for longer periods (from 10 minutes to 1 hour)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801090000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Standing_Extended_Period,"In the previous month, did you have any difficulty, due to hemophilia, with standing still for very long periods (more than 1 hour)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801100000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Walking_Short_Distance,"In the previous month, did you have any difficulty, due to hemophilia, with walking short distances (<10 min)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801110000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Walking_Long_Distance,"In the previous month, did you have any difficulty, due to hemophilia, with walking long distances (10 min to 1 hour)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801120000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Walking_Soft_Surface,"In the previous month, did you have any difficulty, due to hemophilia, with walking on a soft surface (e.g., on the beach)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801130000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Walking_Uneven_Surface,"In the previous month, did you have any difficulty, due to hemophilia, with walking on an uneven surface (e.g., a bumpy road, high curbs, doorsteps)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801140000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Strolling,"In the previous month, did you have any difficulty, due to hemophilia, with strolling (e.g., a day at the zoo)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801150000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Running,"In the previous month, did you have any difficulty, due to hemophilia, with running (e.g., to catch the bus, or catch up to a friend)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801160000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Jumping,"In the previous month, did you have any difficulty, due to hemophilia, with jumping?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801170000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910801_Hemophilia_Specific_Functional_Ability_Child_Walking_Up_Stairs,"In the previous month, did you have any difficulty, due to hemophilia, with walking up the stairs (a whole stairway is around 14 steps)?",DCW_910801.doc,encoded values,,,,,,,PhenX,PX910801180000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
