VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX910903_Factor_Nine_Individual_Standard_Sample_Collection,Were the sample collection procedures outlined in Lippi et al. (2012) to ensure quality specimens for coagulation testing followed?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903010100,,,,,Yes,No
PX910904_Factor_Nine_Individual_Standard_Winged_Butterfly,Was a winged butterfly collection system used?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903010200,,,,,Yes,No
PX910904_Factor_Nine_Individual_Standard_Discard_Tube,Was a discard tube drawn?,DCW_910903.doc,enumerated,,,,,ASK IF Q1.2=YES,,PhenX,PX910903010201,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing,Were the sample collection procedures outlined in Adcock Funk et al. (2012) followed?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020100,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing_Capped_Room_Temp,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020200,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing_Not_Refrigerated_Stored,Were samples not refrigerated or stored on ice or in an ice bath?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020300,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing_Not_Transported_Vertically,Were samples not transported vertically?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020400,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing_Not_Agitated,Were samples not agitated during transportation to avoid remixing of components?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020500,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing_Transported_Stored,Were procedures for samples transportation and storage followed?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020600,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing_Unprocessed_Sodium_Citrate,Were samples transported and stored as unprocessed sodium citrate whole blood samples?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020700,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing_Whole_Blood_Centrifuged,Were samples transported and stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020800,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Sample_Processing_Plasma_Processed_Centrifugation,Were samples transported and stored as plasma processed by centrifugation and aliquoting into a second tube?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903020900,,,,,Yes,No
PX910904_Factor_Nine_Individual_Standard_Whole_Blood_PPP,Were whole blood samples processed to platelet poor plasma (PPP) within 1 hour of collection?,DCW_910903.doc,enumerated,,,,,ASK IF Q2.8=YES OR Q2.9=YES,,PhenX,PX910903020901,,,,,Yes,No
PX910904_Factor_Nine_Individual_Standard_Whole_Blood_Assayed,Were samples assayed within 4 hours of collection?,DCW_910903.doc,enumerated,,,,,ASK IF Q2.8=YES OR Q2.9=YES,,PhenX,PX910903020902,,,,,Yes,No
PX910904_Factor_Nine_Individual_Standard_Centrifuge_Validated,"Was the centrifuge validated so that process results in less than 10,000 platelets/microliter?",DCW_910903.doc,enumerated,,,,,ASK IF Q2.8=YES OR Q2.9=YES,,PhenX,PX910903020903,,,,,Yes,No
PX910904_Factor_Nine_Individual_Standard_Frozen_Immediately,Were centrifuged samples frozen immedietely and stored at -20C for 2 weeks?,DCW_910903.doc,enumerated,,,,,ASK IF Q2.8=YES OR Q2.9=YES,,PhenX,PX910903020904,,,,,Yes,No
PX910904_Factor_Nine_Individual_Standard_Transferred_Storage,"Were samples transferred to <-70C for longer storage, including shipment?",DCW_910903.doc,enumerated,,,,,ASK IF Q2.8=YES OR Q2.9=YES,,PhenX,PX910903020905,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Chromogenic_Substrate_Assay ,Were assays and instruments appropriate to perform the chromogenic substrate assay chosen?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903030000,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Individual_Pharmacokinetic_Study ,"Were pharmacokinetic evaluations using the chromogenic substrate assay be performed according to the parameters outlined by Subcommittee on Factor VIII and Factor IX of the Scientific and Standardization Committee of the International Society on Thrombosis and Haemostasis (Lee et al., 2001)?",DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903040100,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Individual_Pharmacokinetic_Before_Infusion_Baseline,Was Factor IX activity tested before infusion (baseline)?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903040200,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Individual_Pharmacokinetic_After_Infusion_Minutes_10,Was Factor IX activity tested 10-15 minutes after infusion?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903040300,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Individual_Pharmacokinetic_After_Infusion_Minutes_30,Was Factor IX activity tested 30 minutes after infusion?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903040400,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Individual_Pharmacokinetic_After_Infusion_Hours_1,Was Factor IX activity tested 1 hour after infusion?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903040500,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Individual_Pharmacokinetic_After_Infusion_Hours_3,Was Factor IX activity tested 3 hours after infusion?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903040600,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Individual_Pharmacokinetic_After_Infusion_Hours_6,Was Factor IX activity tested 6 hours after infusion?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903040700,,,,,Yes,No
PX910903_Factor_Nine_Individual_Standard_Individual_Pharmacokinetic_After_Infusion_Hours_9,Was Factor IX activity tested 9 hours after infusion?,DCW_910903.doc,enumerated,,,,,,,PhenX,PX910903040800,,,,,Yes,No
