"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX930301_Hero_Protective_Equipment_Work_Mask","Do you currently wear a mask at work?","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301010000","","","","","No","Yes, during contact with patients with known or suspected COVID-19","Yes, at all times","","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Mask_Type","Please indicate the mask type:","DCW_930301.doc","enumerated","","","","","ASK IF 'Do you currently wear a mask at work?'='N95 respirator' OR 'Do you currently wear a mask at work?'='Surgical mask'","","PhenX","PX930301020000","","","","","Powered air-purifying respirator (PAPR)","N95 respirator","Surgical mask","Surgical mask for low risk followed by N95/PAPR for known or suspected COVID19","Another type","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Respiratory_Mask","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Respiratory mask (e.g., N95, KN95, or other)","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301030000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Surgical_Mask","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Surgical mask","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301040000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Powered_Air_Purifying_Respirator","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Powered air purifying respirator (PAPR)","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301050000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Face_Shield","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Face shield/goggles","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301060000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Gloves","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Gloves","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301070000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Gowns","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Gowns","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301080000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Hand_Sanitizer","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Hand sanitizer","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301090000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Soap","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Soap","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301100000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Difficulty_Cleaning_Disinfectant","During the last day you were at work, how much of a problem did you have getting appropriate access to the following types of PPE? Cleaning/disinfecting products","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301110000","","","","","No problem","Small problem","Big problem","Not applicable to me","","","","","","","","","","","","",""
"PX930301_Hero_Protective_Equipment_Work_Reuse_Mask_Respirator","During the last day you were at work, for how many patients did you have to re-use the same N95/KN95 mask respirator or surgical mask when you would have otherwise used a new mask?","DCW_930301.doc","enumerated","","","","","","","PhenX","PX930301120000","","","","","Did not have patient contact","None (1 mask per patient)","Some patients","Most patients","All patients","","","","","","","","","","","",""
