"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX960201_Covid19_Effects_Outbreak_Affect_Healthcare","In what ways has the COVID-19 outbreak affected your overall healthcare? (Mark all that apply)","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201010000","","","","","1 = I did not go to healthcare appointments because I was concerned about entering my healthcare provider's office","2 = My healthcare provider canceled appointments","3 = My healthcare provider changed to phone or online visits","4 = My healthcare provider told me to self-isolate or quarantine","5 = None of these apply","","","","","","","","","","","",""
"PX960201_Covid19_Effects_Outbreak_Behavior_Less","Which of the following behaviors have you done less because of the COVID-19 outbreak? (Mark all that apply)","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201020000","","","","","1 = In-person contact with people inside the home (that is, you are quarantined separately from one or more family or household members)","2 = In-person contact with family who live outside the home","3 = In-person contact with friends","4 = In-person contact with colleagues at work","5 = In-person events in the community, including religious events","6 = None of these apply","","","","","","","","","","",""
"PX960201_Covid19_Effects_Outbreak_Behavior_Change","Which of the following behaviors have you changed because of the COVID-19 outbreak? (Mark all that apply)","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201030000","","","","","1 = Eat more home-cooked meals","2 = Eat more takeout / delivered food","3 = Get more physical exercise","4 = Get less physical exercise","5 = Spend more time outdoors in nature","6 = Spend less time outdoors in nature","7 = None of these apply","","","","","","","","","",""
"PX960201_Covid19_Effects_Outbreak_Affect_Work","In what ways has the COVID-19 outbreak affected your work? (Mark all that apply)","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201040000","","","","","1 = I moved to working remotely or from home","2 = I lost my job permanently","3 = I lost my job temporarily, or was not told for how long","4 = I got a new job","5 = I reduced my work hours","6 = I increased my work hours","7 = My job put me at increased risk of getting COVID-19","8 = I laid off employees","9 = I did not have a paying job before the COVID-19 outbreak","10 = None of these apply","","","","","","",""
"PX960201_Covid19_Effects_Outbreak_Affect_Work_Spouse","In what ways has the COVID-19 outbreak affected your spouse/partner's work? (Mark all that apply)","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201050000","","","","","1 = My spouse/partner moved to working remotely or from home","2 = My spouse/partner lost his/her job permanently","3 = My spouse/partner lost his/her job temporarily, or was not told for how long","4 = My spouse/partner got a new job","5 = My spouse/partner reduced his/her work hours","6 = My spouse/partner increased his/her work hours","7 = My spouse/partner's job put him/her at increased risk of getting COVID-19","8 = My spouse/partner laid off employees","9 = My spouse/partner did not have a paying job before the COVID-19 outbreak","10 = None of these apply","","","","","","",""
"PX960201_Covid19_Effects_Outbreak_Affect_Childcare","How has the COVID-19 outbreak affected your regular childcare? (Mark all that apply)","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201060000","","","","","1 = I had difficulty arranging for childcare","2 = I had to pay more for childcare","3 = My spouse/partner or I had to change our work schedule to care for our children ourselves","4 = My regular childcare has not been affected by the COVID-19 outbreak","5 = I do not have a child in childcare.","","","","","","","","","","","",""
"PX960201_Covid19_Effects_Outbreak_Source_Stress","What have been your greatest sources of stress from the COVID-19 outbreak? (Mark all that apply)","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201070000","","","","","1 = Health concerns","2 = Financial concerns","3 = Impact on work","4 = Impact on your child","5 = Impact on your community","6 = Impact on family members","7 = Access to food","8 = Access to baby supplies (e.g., formula, diapers, wipes)","9 = Access to personal care products or household supplies","10 = Access to medical care, including mental health care","11 = Social distancing or being quarantined","12 = I am not stressed about the COVID-19 outbreak","","","","",""
"PX960201_Covid19_Effects_Outbreak_Cope_Stress","What have you done to cope with your stress related to the COVID-19 outbreak? (Mark all that apply)","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201080000","","","","","1 = Meditation and/or mindfulness practices","2 = Talking with friends and family (e.g., by phone, text, or video)","3 = Engaging in more family activities (e.g., games, sports)","4 = Increased television watching or other \screen time\\ activities (e.g.\""," video games"," social media)\\",5 = Eating more often"," including snacking\"","6 = Increasing time reading books, or doing activities like puzzles and crosswords","7 = Drinking alcohol","8 = Using tobacco (e.g., smoking, vaping)","9 = Using marijuana (e.g., vaping, smoking, eating) or cannabidiol (CBD)","10 = Talking to my healthcare providers more frequently, including mental healthcare provider (e.g., therapist, psychologist, counselor)","11 = Volunteer work","12 = I have not done any of these things to cope with the COVID-19 outbreak","","",""
"PX960201_Covid19_Effects_Outbreak_Impact_Positive_Negative","Please indicate the extent to which you view the COVID-19 outbreak as having either a positive or negative impact on your life.","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201090000","","","","","1 = Extremely negative","2 = Moderately negative","3 = Somewhat negative","4 = No impact","5 = Slightly positive","6 = Moderately positive","7 = Extremely positive","","","","","","","","","",""
"PX960201_Covid19_Effects_Outbreak_Happy_Life","Since becoming aware of the COVID-19 outbreak, how often have you felt happy and satisfied with your life?","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201100000","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
"PX960201_Covid19_Effects_Outbreak_Often_Difficulty_Sleeping","Since becoming aware of the COVID-19 outbreak, how often have you: had difficulty sleeping","DCW_960201.doc","encoded values","","","","","","","PhenX","PX960201110100","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
