"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX960203_Covid19_Effects_Outbreak_Healthcare","In what ways has the COVID-19 outbreak affected your overall healthcare? (Mark all that apply)","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203010000","","","","","1 = I did not go to healthcare appointments because I was concerned about entering my healthcare provider's office","2 = My healthcare provider canceled appointments","3 = My healthcare provider changed to phone or online visits","4 = My healthcare provider told me to self-isolate or quarantine","5 = None of these apply","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_School_Close","Did your school close because of the COVID-19 outbreak?","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203020000","","","","","1 = Yes","2 = No","3 = I am not enrolled in any school","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_School_Free_Meals","Do you usually receive free meals at school?","DCW_960203.doc","encoded values","","","","","ASK IF 'Did your school close because of the COVID-19 outbreak?' = 'Yes'","","PhenX","PX960203020101","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_School_Close_Offer_Meal","Has your school offered meals during the school closure from COVID-19?","DCW_960203.doc","encoded values","","","","","ASK IF 'Do you usually receive free meals at school?' = 'Yes'","","PhenX","PX960203020102","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_School_Close_Able_Get_Meal","Have you been able to get the school-provided meals during the COVID-19 associated closure?","DCW_960203.doc","encoded values","","","","","ASK IF 'Has your school offered meals during the school closure from COVID-19?' = 'Yes'","","PhenX","PX960203020103","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_School_Close_Online_Learn","Has your school offered online learning while closed?","DCW_960203.doc","encoded values","","","","","ASK IF 'Did your school close because of the COVID-19 outbreak?' = 'Yes'","","PhenX","PX960203020201","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_School_Support_Online_Learn_Home_Internet_Access","Has your school provided either of the following to support online learning? Free home internet access","DCW_960203.doc","encoded values","","","","","ASK IF 'Has your school offered online learning while closed?' = 'Yes'","","PhenX","PX960203020202","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_School_Support_Online_Learn_Computer_Tablet","Has your school provided either of the following to support online learning? Free computer or tablet","DCW_960203.doc","encoded values","","","","","ASK IF 'Has your school offered online learning while closed?' = 'Yes'","","PhenX","PX960203020203","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Internet_Access_Home","What type of internet access do you have at home? (Mark all that apply)","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203030000","","","","","1 = High-speed broadband internet (WiFi\") (e.g. DSL"," cable"," fiber optic)\"","2 = Dial-up internet (not WiFi)","3 = Smartphone not connected to WiFi network at home (e.g., use cellular, LTE, mobile hotspot, neighbor's WiFi)","4 = I do not have internet access at home","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Internet_Access_Home_High_Speed","Did you have high-speed broadband internet access at home prior to March 1, 2020?","DCW_960203.doc","encoded values","","","","","ASK IF 'What type of internet access do you have at home?' = 'High-speed broadband internet (\"WiFi\") (e.g. DSL, cable, fiber optic)'","","PhenX","PX960203030100","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Eating","Compared to before the COVID-19 outbreak, how much are you now doing the following: Eating","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203040100","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Sleeping","Compared to before the COVID-19 outbreak, how much are you now doing the following: Sleeping","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203040200","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Physical_Activity","Compared to before the COVID-19 outbreak, how much are you now doing the following: Physical activity","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203040300","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Time_Outside","Compared to before the COVID-19 outbreak, how much are you now doing the following: Spending time outside","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203040400","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Time_Friends_In_Person","Compared to before the COVID-19 outbreak, how much are you now doing the following: Spending time with friends in-person","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203040500","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Time_Friends_Remote","Compared to before the COVID-19 outbreak, how much are you now doing the following: Spending time with friends remotely (e.g., online, social media, texting)","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203040600","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Tv_Games_Social_Media_Education","Compared to before the COVID-19 outbreak, how much are you now doing the following: Spending time watching TV, playing video/computer games, or using social media for educational purposes, including school work","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203040700","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Tv_Games_Social_Media_Noneducation","Compared to before the COVID-19 outbreak, how much are you now doing the following: Spending time watching TV, playing video/computer games, or using social media for non-educational purposes","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203040800","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Before_Feel","Compared to before the COVID-19 outbreak, do you feel:","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203050000","","","","","1 = much less socially connected","2 = less socially connected","3 = slightly less socially connected","4 = slightly more socially connected","5 = more socially connected","6 = much more socially connected","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Cope_Stress","What have you done to cope with your stress related to the COVID-19 outbreak? (Mark all that apply)","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203060000","","","","","1 = Meditation and/or mindfulness practices","2 = Engaging in more family activities (e.g., games, sports)","3 = Eating more often, including snacking","4 = Increasing time reading books, or doing activities like puzzles and crosswords","5 = Drinking alcohol","6 = Using tobacco (e.g., smoking; do not include vaping)","7 = Using marijuana (e.g., smoking, edibles; do not include vaping) or cannabidiol (CBD)","8 = Vaping marijuana","9 = Vaping other substances (e.g., using e-cigarettes, e-juice)","10 = Talking to my healthcare providers more frequently, including mental healthcare provider (e.g., therapist, psychologist, counselor)","11 = Volunteer work","12 = I have not done any of these things to cope with the COVID-19 outbreak","","","","",""
"PX960203_Covid19_Effects_Outbreak_Impact_Positive_Negative","Please indicate the extent to which you view the COVID-19 outbreak as having either a positive or negative impact on your life.","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203070000","","","","","1 = Extremely negative","2 = Moderately negative","3 = Somewhat negative","4 = No impact","5 = Slightly positive","6 = Moderately positive","7 = Extremely positive","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Happy_Life","Since becoming aware of the COVID-19 outbreak, how often have you felt happy and satisfied with your life?","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203080000","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Often_Difficult_Sleeping","Since becoming aware of the COVID-19 outbreak, how often have you: had difficulty sleeping","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203090100","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Often_Startled","Since becoming aware of the COVID-19 outbreak, how often have you: startled easily","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203090200","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Often_Outburst","Since becoming aware of the COVID-19 outbreak, how often have you: had angry outbursts","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203090300","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Often_Time_Slow","Since becoming aware of the COVID-19 outbreak, how often have you: felt a sense of time slowing down","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203090400","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Often_Feel_Daze","Since becoming aware of the COVID-19 outbreak, how often have you: felt in a daze","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203090500","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Often_Avoid_Thought_Feeling","Since becoming aware of the COVID-19 outbreak, how often have you: tried to avoid thoughts and feelings about COVID-19","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203090600","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
"PX960203_Covid19_Effects_Outbreak_Often_Avoid_Read_Watch_Information","Since becoming aware of the COVID-19 outbreak, how often have you: tried to avoid reading or watching information about COVID-19","DCW_960203.doc","encoded values","","","","","","","PhenX","PX960203090700","","","","","1 = Not at all","2 = Rarely","3 = Sometimes","4 = Often","5 = Very often","","","","","","","","","","","",""
