"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX960204_Covid19_Effects_Outbreak_Healthcare","¿De que formas ha afectado el brote de COVID-19 tu atencion medica general? (Marca todas las que correspondan)","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204010000","","","","","1 = No fui a citas de atencion medica porque me preocupaba tener que entrar al consultorio del profesional de la salud","2 = El profesional de la salud que me atiende cancelo las citas","3 = El profesional de la salud que me atiende cambio a consultas por telefono o en linea","4 = El profesional de la salud que me atiende me dijo que me autoaislara o me mantuviera en cuarentena","5 = Ninguna de estas correspond","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_School_Close","¿Tu escuela cerro a causa del brote de COVID-19?","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204020000","","","","","1 = Si","2 = No","3 = No estoy inscrito/a en ninguna escuela","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_School_Free_Meals","¿Normalmente recibes comidas gratuitas en la escuela?","DCW_960204.doc","encoded values","","","","","ASK IF '¿Tu escuela cerro a causa del brote de COVID-19?' = 'Si'","","PhenX","PX960204020101","","","","","1 = Si","2 = No","","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_School_Close_Offer_Meal","¿La escuela te ha ofrecido comidas durante el cierre escolar a causa de la COVID-19?","DCW_960204.doc","encoded values","","","","","ASK IF '¿Normalmente recibes comidas gratuitas en la escuela?' = 'Si'","","PhenX","PX960204020102","","","","","1 = Si","2 = No","","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_School_Close_Able_Get_Meal","¿Has podido recibir las comidas que proporciona la escuela durante el cierre asociado con COVID-19?","DCW_960204.doc","encoded values","","","","","ASK IF '¿La escuela te ha ofrecido comidas durante el cierre escolar a causa de la COVID-19?' = 'Si'","","PhenX","PX960204020103","","","","","1 = Si","2 = No","","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_School_Close_Online_Learn","¿La escuela ha ofrecido aprendizaje en linea durante el cierre?","DCW_960204.doc","encoded values","","","","","ASK IF '¿Tu escuela cerro a causa del brote de COVID-19?' = 'Si'","","PhenX","PX960204020201","","","","","1 = Si","2 = No","","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_School_Support_Online_Learn_Home_Internet_Access","¿La escuela ha proporcionado alguna de las siguientes cosas para apoyar el aprendizaje en linea? Acceso gratuito a Internet en casa","DCW_960204.doc","encoded values","","","","","ASK IF '¿La escuela ha ofrecido aprendizaje en linea durante el cierre?' = 'Si'","","PhenX","PX960204020202","","","","","1 = Si","2 = No","","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_School_Support_Online_Learn_Computer_Tablet","¿La escuela ha proporcionado alguna de las siguientes cosas para apoyar el aprendizaje en linea? Computadora o tableta gratuita","DCW_960204.doc","encoded values","","","","","ASK IF '¿La escuela ha ofrecido aprendizaje en linea durante el cierre?' = 'Si'","","PhenX","PX960204020203","","","","","1 = Si","2 = No","","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Internet_Access_Home","¿Que tipo de acceso a Internet tienes en casa? (Marca todos los que correspondan)","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204030000","","","","","1 = Internet de banda ancha de alta velocidad (wifi) (p. ej., DSL, cable, fibra optica)","2 = Internet por linea telefonica (no wifi)","3 = Telefono inteligente no conectado a una red wifi del hogar (p. ej., uso de celular, red LTE, punto de acceso movil o hotspot, wifi de un vecino)","4 = No tengo acceso a Internet en casa","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Internet_Access_Home_High_Speed","¿Tenias acceso a Internet de banda ancha de alta velocidad en casa antes del 1 de marzo de 2020?","DCW_960204.doc","encoded values","","","","","ASK IF '¿Que tipo de acceso a Internet tienes en casa?' = 'Internet de banda ancha de alta velocidad (wifi) (p. ej., DSL, cable, fibra optica)'","","PhenX","PX960204030100","","","","","1 = Si","2 = No","","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Eating","En comparacion con antes del brote de COVID-19, ¿cuanto haces ahora lo siguiente? Comer","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204040100","","","","","1 = Menos","2 = Igual","3 = Mas","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Sleeping","En comparacion con antes del brote de COVID-19, ¿cuanto haces ahora lo siguiente? Dormir","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204040200","","","","","1 = Menos","2 = Igual","3 = Mas","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Physical_Activity","En comparacion con antes del brote de COVID-19, ¿cuanto haces ahora lo siguiente? Actividad fisica","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204040300","","","","","1 = Menos","2 = Igual","3 = Mas","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Time_Outside","En comparacion con antes del brote de COVID-19, ¿cuanto haces ahora lo siguiente? Pasar tiempo afuera","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204040400","","","","","1 = Menos","2 = Igual","3 = Mas","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Time_Friends_In_Person","En comparacion con antes del brote de COVID-19, ¿cuanto haces ahora lo siguiente? Pasar tiempo en persona con amigos","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204040500","","","","","1 = Menos","2 = Igual","3 = Mas","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Time_Friends_Remote","En comparacion con antes del brote de COVID-19, ¿cuanto haces ahora lo siguiente? Pasar tiempo a distancia con amigos (p. ej., en linea, en las redes sociales, por mensajes de texto)","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204040600","","","","","1 = Menos","2 = Igual","3 = Mas","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Tv_Games_Social_Media_Education","En comparacion con antes del brote de COVID-19, ¿cuanto haces ahora lo siguiente? Pasar tiempo viendo la television, jugando videojuegos o juegos por computadora, o usando las redes sociales con fines educativos, como para el trabajo escolar","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204040700","","","","","1 = Menos","2 = Igual","3 = Mas","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Behavior_Before_Outbreak_Tv_Games_Social_Media_Noneducation","En comparacion con antes del brote de COVID-19, ¿cuanto haces ahora lo siguiente? Pasar tiempo viendo la television, jugando videojuegos o juegos por computadora, o usando las redes sociales con fines que no son educativos","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204040800","","","","","1 = Menos","2 = Igual","3 = Mas","","","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Before_Feel","En comparacion con antes del brote de COVID-19, ¿te sientes","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204050000","","","","","1 = mucho menos conectado/a socialmente","2 = menos conectado/a socialmente","3 = un poco menos conectado/a socialmente","4 = un poco mas conectado/a socialmente","5 = mas conectado/a socialmente","6 = mucho mas conectado/a socialmente","","","","","","","","","","",""
