"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX960205_Covid19_Effects_Outbreak_Daycare_Close","Did the child's school/preschool/daycare close because of the COVID-19 outbreak?","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205010000","","","","","1 = Yes","2 = No","3 = The child is not enrolled in any school/preschool/daycare","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Daycare_Close_Free_Meals","Does the child usually receive free meals at school/preschool/daycare?","DCW_960205.doc","encoded values","","","","","ASK IF 'Did the child's school/preschool/daycare close because of the COVID-19 outbreak?' = 'Yes'","","PhenX","PX960205010100","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Daycare_Close_Free_Meals_Offer","Has the child's school/preschool/daycare offered meals during the closure from COVID-19?","DCW_960205.doc","encoded values","","","","","ASK IF 'Does the child usually receive free meals at school/preschool/daycare?' = 'Yes'","","PhenX","PX960205010101","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Daycare_Close_Free_Meals_Able","Has the child been able to get the school-provided meals during the COVID-19 associated closure?","DCW_960205.doc","encoded values","","","","","ASK IF 'Has the child's school/preschool/daycare offered meals during the closure from COVID-19?' = 'Yes'","","PhenX","PX960205010102","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Daycare_Close_Online_Learning","Has the child's school/preschool/daycare offered online learning while closed?","DCW_960205.doc","encoded values","","","","","ASK IF 'Did the child's school/preschool/daycare close because of the COVID-19 outbreak?' = 'Yes'","","PhenX","PX960205010200","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Daycare_School_Support_Online_Learning_Internet_Access","Has the child's school/preschool/daycare provided either of the following to support online learning? Free home internet access","DCW_960205.doc","encoded values","","","","","ASK IF 'Has the child's school/preschool/daycare offered online learning while closed?' = 'Yes'","","PhenX","PX960205010201","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Daycare_School_Support_Online_Learning_Computer_Tablet","Has the child's school/preschool/daycare provided either of the following to support online learning? Free computer or tablet","DCW_960205.doc","encoded values","","","","","ASK IF 'Has the child's school/preschool/daycare offered online learning while closed?' = 'Yes'","","PhenX","PX960205010202","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Internet_Access_Home","What type of internet access does the child have at home? (Mark all that apply)","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205020100","","","","","1 = High-speed broadband internet (\"WiFi\") (e.g. DSL, cable, fiber optic)","2 = Dial-up internet (not WiFi)","3 = Smartphone not connected to WiFi network at home (e.g., use cellular, LTE, mobile hotspot, neighbor's WiFi)","4 = The child does not have internet access at home","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Internet_Access_Home_High_Speed","Did the child have high-speed broadband internet access at home prior to March 1, 2020?","DCW_960205.doc","encoded values","","","","","ASK IF 'What type of internet access does the child have at home?' = 'High-speed broadband internet ('WiFi') (e.g. DSL, cable, fiber optic)'","","PhenX","PX960205020200","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Doing_Often_Eating","Compared to before the COVID-19 outbreak, how much is the child now doing the following: Eating","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205030100","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Doing_Often_Sleeping","Compared to before the COVID-19 outbreak, how much is the child now doing the following: Sleeping","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205030200","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Doing_Often_Physical_Activity","Compared to before the COVID-19 outbreak, how much is the child now doing the following: Physical activity","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205030300","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Doing_Often_Time_Outside","Compared to before the COVID-19 outbreak, how much is the child now doing the following: Spending time outside","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205030400","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Doing_Often_Time_Friends_In_Person","Compared to before the COVID-19 outbreak, how much is the child now doing the following: Spending time with friends in-person","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205030500","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Doing_Often_Time_Friends_Remote","Compared to before the COVID-19 outbreak, how much is the child now doing the following: Spending time with friends remotely (e.g., online, social media, texting)","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205030600","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Doing_Often_Tv_Games_Social_Media_Education","Compared to before the COVID-19 outbreak, how much is the child now doing the following: Spending time watching TV, playing video/computer games, or using social media for educational purposes, including school work","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205030700","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Doing_Often_Tv_Games_Social_Media_Noneducation","Compared to before the COVID-19 outbreak, how much is the child now doing the following: Spending time watching TV, playing video/computer games, or using social media for non-educational purposes","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205030800","","","","","1 = Less","2 = Same amount","3 = More","","","","","","","","","","","","","",""
"PX960205_Covid19_Effects_Outbreak_Social_Connection","Compared to before the COVID-19 outbreak, does the child seem","DCW_960205.doc","encoded values","","","","","","","PhenX","PX960205040000","","","","","1 = much less socially connected","2 = less socially connected","3 = slightly less socially connected","4 = slightly more socially connected","5 = more socially connected","6 = much more socially connected","","","","","","","","","","",""
