"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX970101_Educational_Impact_Coronavirus_Household_Members_Preschool","How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: preschool or day care.","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101010100","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Household_Members_Elementary","How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: elementary school","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101010200","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Household_Members_Middle","How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: middle school or junior high","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101010300","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Household_Members_High","How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: high school","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101010400","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Household_Members_College","How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: college or trade school, including four-year colleges, community colleges, technical institutes, and vocational schools.","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101010500","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Education_Status","Are you currently enrolled in college or trade school, including four-year colleges, community colleges?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: college or trade school, including four-year colleges, community colleges, technical institutes, and vocational schools.' > 0","","PhenX","PX970101020000","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Internet_Access","Do children in this household have access to the internet during the day to support learning?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: elementary school' > 0 OR 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: middle school or junior high' > 0 OR 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: high school' > 0","","PhenX","PX970101030000","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Internet_Access_Support_Learning","What type(s) of internet do children in this household have to support learning? Mark all that apply.","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101040000","","","","","Dedicated household internet or wifi","Dedicated cellular hotspot","Hotspot through someone's mobile phone","Other","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Internet_Access_Laptop","Which of the following devices do children in your household use to access the internet for learning? A laptop, chromebook, or desktop computer","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101050100","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Internet_Access_Tablet","Which of the following devices do children in your household use to access the internet for learning? A tablet or iPad","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101050200","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Internet_Access_Smartphone","Which of the following devices do children in your household use to access the internet for learning? A smartphone","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101050300","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
