"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX980101_Covid19_Household_Finances_Household_Income_Change","Has your household income changed significantly since February 2020? (please EXCLUDE a stimulus payment from the federal government if you have received one)","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101010000","","","","","1 = Yes, my household income is more","2 = Yes, my household income is less","3 = No, my household income is about the same","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Household_Income_Worry_Impact","How worried are you that your household income has been or will be negatively impacted the coronavirus (COVID-19) and its effects?","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101020000","","","","","1 = Very worried","2 = Somewhat worried","3 = Not very worried","4 = Not at all worried","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Asset_Value_Worry_Impact","How worried are you that the value of your assets (including housing, savings, and other financial assets) has been or will be negatively impacted by the coronavirus (COVID-19) and its effects?","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101030000","","","","","1 = Very worried","2 = Somewhat worried","3 = Not very worried","4 = Not at all worried","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Difficulty_Cover_Expenses_Bills","In the past month, how difficult has it been for you to cover your expenses and pay all your bills?","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101040000","","","","","1 = Very difficult","2 = Somewhat difficult","3 = Not at all difficult","4 = Don't know","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Credit_Card_Next_Statement","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? By putting it on my credit card and paying it off in full at the next statement","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050100","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Credit_Card_Over_Time","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? By putting it on my credit card and paying it off over time","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050200","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Current_Money_Account","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? With the money currently in my checking/savings account or with cash","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050300","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Bank_Loan","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? Using a bank loan or line of credit","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050400","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Borrow_Family_Friend","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? By borrowing from a friend or family member","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050500","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Payday_Loan_Advance_Overdraft","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? Using a payday loan, deposit advance, or overdraft","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050600","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Selling_Something","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? By selling something","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050700","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
