"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX980201_Covid19_Employment_Status_Work_Two_Weeks_Before_Outbreak","Which of the following best describes your work situation in the two weeks prior to the COVID-19 outbreak?","DCW_980201.doc","enumerated","","","","","","","PhenX","PX980201010000","","","","","Working full time","Working part time","Self-employed","Looking for work, unemployed","Unemployed, not looking","Temporarily laid off","Retired","Homemaker","Maternity Leave","Illness/sick leave","Disabled","Other","","","","",""
"PX980201_Covid19_Employment_Status_New_Job_Outbreak","Did you start a new job during the COVID-19 outbreak?","DCW_980201.doc","enumerated","","","","","ASK IF 'Which of the following best describes your work situation in the two weeks prior to the COVID-19 outbreak?' = ('Looking for work, unemployed' OR 'Unemployed, not looking' OR 'Temporarily laid off' OR 'Retired' OR 'Homemaker' OR 'Maternity Leave' OR 'Illness/sick leave' OR 'Disabled')","","PhenX","PX980201010100","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Work_Two_Weeks_Before_Outbreak_Setting","What setting(s) were you working in the two weeks before the COVID-19 outbreak? [check all that apply]","DCW_980201.doc","enumerated","","","","","ASK IF 'Which of the following best describes your work situation in the two weeks prior to the COVID-19 outbreak?' = ('Working full time' OR 'Working part time' OR 'Self-employed' OR 'Other')","","PhenX","PX980201010200","","","","","At home","In a medical setting (hospital, clinic, doctor's office, urgent care center, etc.)","In an office or apartment building","In a private household(s) (nanny, housekeeper, etc.)","In a setting with regular customer interaction (delivery, transport, retail, food service, restaurant, etc.)","In the community as a first responder (police, EMS, firefighter, etc.)","In a warehouse or factory","Outside (gardening, construction, road work, etc.)","Other","","","","","","","",""
"PX980201_Covid19_Employment_Status_Work_Two_Weeks_Before_Outbreak_Setting_Other","What setting(s) were you working in the two weeks before the COVID-19 outbreak? Other: please specify","DCW_980201.doc","string","","","","","ASK IF 'What setting(s) were you working in the two weeks before the COVID-19 outbreak?' = 'Other'","","PhenX","PX980201010300","","","","","","","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Work_Two_Weeks_Before_Outbreak_Type","What kind of work did you do?","DCW_980201.doc","string","","","","","ASK IF 'Which of the following best describes your work situation in the two weeks prior to the COVID-19 outbreak?' = ('Working full time' OR 'Working part time' OR 'Self-employed' OR 'Other')","","PhenX","PX980201010400","","","","","","","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Lose_Job_During_Outbreak","If employed before COVID-19 outbreak, ask: Did you lose any job(s) during the covid-19 outbreak?","DCW_980201.doc","enumerated","","","","","ASK IF 'Which of the following best describes your work situation in the two weeks prior to the COVID-19 outbreak?' = ('Working full time' OR 'Working part time' OR 'Self-employed' OR 'Other')","","PhenX","PX980201020000","","","","","No","Yes, I was laid off from a job","Yes, I was furloughed from a job","Yes, I lost all my jobs","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Lose_Job_During_Outbreak_Continue","Did you continue to work at all during the COVID-19 outbreak?","DCW_980201.doc","enumerated","","","","","ASK IF 'Did you lose any job(s) during the covid-19 outbreak?' = 'Yes, I was laid off from a job' OR 'Did you lose any job(s) during the covid-19 outbreak?' = 'Yes, I was furloughed from a job'","","PhenX","PX980201020100","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Lose_Job_During_Outbreak_Start_Another","Did you start or get [a new/another] job during the COVID-19 outbreak?","DCW_980201.doc","enumerated","","","","","ASK IF 'Did you continue to work at all during the COVID-19 outbreak?' = 'Yes'","","PhenX","PX980201020200","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Significant_Changes_Job_Outbreak","Did you experience significant changes with your job (e.g. workload, hours, pay, etc.) because of or during the outbreak? [check all that apply]","DCW_980201.doc","enumerated","","","","","ASK IF 'Did you continue to work at all during the COVID-19 outbreak?' = 'Yes'","","PhenX","PX980201030100","","","","","No","Yes, switched to working remotely","Yes, increase in work hours","Yes, decrease in work hours","Yes, increase in workload","Yes, decrease in workload","Yes, salary or wages cut","Yes, salary or wages increased","Yes, other significant change","","","","","","","",""
"PX980201_Covid19_Employment_Status_Significant_Changes_Job_Outbreak_Other","Did you experience significant changes with your job (e.g. workload, hours, pay, etc.) because of or during the outbreak? Other: please specify","DCW_980201.doc","string","","","","","ASK IF 'Did you experience significant changes with your job (e.g. workload, hours, pay, etc.) because of or during the outbreak?' = 'Yes, other significant change'","","PhenX","PX980201030200","","","","","","","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Work_Settings_Outbreak","What setting(s) have you been working in since the COVID-19 outbreak began? [check all that apply]","DCW_980201.doc","enumerated","","","","","ASK IF 'Did you continue to work at all during the COVID-19 outbreak?' = 'Yes' OR 'Did you start a new job during the COVID-19 outbreak?' = 'Yes'","","PhenX","PX980201040100","","","","","At home","In a medical setting (hospital, clinic, doctor's office, urgent care center, etc.)","In an office or apartment building","In a private household(s) (nanny, housekeeper, etc.)","In a setting with regular customer interaction (delivery, transport, retail, food service, restaurant, etc.)","In the community as a first responder (police, EMS, firefighter, etc.)","In a warehouse or factory","Outside (gardening, construction, road work, etc.)","Other","","","","","","","",""
