"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Temperature_Issues_Start","Have you experienced any TEMPERATURE ISSUES (including heat intolerance, chills, high/low temperature) since the start of your COVID-19 illness?","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008010100","","","","","Yes","No","","","","","",",,,"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Temperature_Issues_Symptoms","Did you experience any of the following TEMPERATURE ISSUES since the start of your COVID-19 illness?","DCW_992008.doc","enumerated","","","","","ASK IF \"Have you experienced any TEMPERATURE ISSUES (including heat intolerance, chills, high/low temperature) since the start of your COVID-19 illness?\" = \"Yes\"","","PhenX","PX992008010201","","","","","Temperature lability (quick swings in and out of fever or elevated temperature)","Heat intolerance","Other temperature issues (not listed above or below)","","","","",",,,"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Temperature_Issues_Symptoms_Other","Did you experience any of the following TEMPERATURE ISSUES since the start of your COVID-19 illness? Other temperature issues (not listed above or below)","DCW_992008.doc","string","","","","","ASK IF \"Did you experience any of the following TEMPERATURE ISSUES since the start of your COVID-19 illness?\" = \"Other temperature issues (not listed above or below)\"","","PhenX","PX992008010202","","","","","","","","","","","",",,,"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Elevated_Temperature","If you experienced any of the following temperature issues, when did you experience the following symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Elevated temperature (98.8-100.4 degrees Fahrenheit, 37.1-37.9 Celsius):","DCW_992008.doc","enumerated","","","","","ASK IF \"Have you experienced any TEMPERATURE ISSUES (including heat intolerance, chills, high/low temperature) since the start of your COVID-19 illness?\" = \"Yes\"","","PhenX","PX992008010301","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Fever","If you experienced any of the following temperature issues, when did you experience the following symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Fever (100.4 degrees Fahrenheit/38 degrees Celsius or above):","DCW_992008.doc","enumerated","","","","","ASK IF \"Have you experienced any TEMPERATURE ISSUES (including heat intolerance, chills, high/low temperature) since the start of your COVID-19 illness?\" = \"Yes\"","","PhenX","PX992008010302","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Low_Temperature","If you experienced any of the following temperature issues, when did you experience the following symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Low temperature:","DCW_992008.doc","enumerated","","","","","ASK IF \"Have you experienced any TEMPERATURE ISSUES (including heat intolerance, chills, high/low temperature) since the start of your COVID-19 illness?\" = \"Yes\"","","PhenX","PX992008010303","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Chills_Flushing_Sweats","If you experienced any of the following temperature issues, when did you experience the following symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Chills/flushing/sweats:","DCW_992008.doc","enumerated","","","","","ASK IF \"Have you experienced any TEMPERATURE ISSUES (including heat intolerance, chills, high/low temperature) since the start of your COVID-19 illness?\" = \"Yes\"","","PhenX","PX992008010304","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Other_Temperature","If you experienced any of the following temperature issues, when did you experience the following symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. All other temperature issues:","DCW_992008.doc","enumerated","","","","","ASK IF \"Have you experienced any TEMPERATURE ISSUES (including heat intolerance, chills, high/low temperature) since the start of your COVID-19 illness?\" = \"Yes\"","","PhenX","PX992008010305","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Lowest_Temperature","If you had a low temperature, what was your lowest temperature? Please input number only.","DCW_992008.doc","decimal","","","","","","","PhenX","PX992008010400","","","","","","","","","","","",",,,"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Highest_Temperature","If you had a high temperature, what was your highest temperature? Please input number only.","DCW_992008.doc","decimal","","","","","","","PhenX","PX992008010500","","","","","","","","","","","",",,,"
