"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992020_Long_Covid_Symptoms_Pediatric_Symptoms_Covid_How_Much_Agree_Recovered","If you have had symptoms of COVID-19, how much do you agree with the following statement? \"I have fully recovered from COVID-19\"","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020010000","","","","","0","1","2","3","4","5","6","7,8,9,10,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_How_Feel_Right_Now","How do you feel right now?","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020020000","","","","","I feel as healthy as normal","I am not feeling quite right","","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Do_You_Have_Fever","Do you have a fever?","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020030000","","","","","Yes","No","","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Do_You_Have_Chills_Shiver","Do you feel chills or shivers (feel too cold)?","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020040000","","","","","Yes","No","","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_What_Your_Temperature","If you are able to measure it, what is your temperature?","DCW_992020.doc","string","","","","","","","PhenX","PX992020050000","","","","","","","","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Persistent_Cough","Do you have a persistent cough (coughing a lot for more than an hour, or 3 or more coughing episodes in 24 hours)?","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020060000","","","","","Yes","No","","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Experiencing_Unusual_Fatigue_Tiredness","Are you experiencing unusual fatigue/tiredness?","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020070000","","","","","No","Mild fatigue","Severe fatigue - I struggle to get out of bed","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Experiencing_Problems_Sleep","Are you experiencing problems with your sleep, including getting to sleep, waking in the night or waking early?","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020080000","","","","","Yes","No","","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Experiencing_Problems_Sleep_Describe","Are you experiencing problems with your sleep, including getting to sleep, waking in the night or waking early? If yes, please describe","DCW_992020.doc","string","","","","","ASK IF \"Are you experiencing problems with your sleep, including getting to sleep, waking in the night or waking early?\" = \"Yes\"","","PhenX","PX992020080100","","","","","","","","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Experiencing_Shortness_Breath","Are you experiencing unusual shortness of breath?","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020090000","","","","","No","Yes, mild symptoms - slight shortness of breath during ordinary activity","Yes, significant symptoms - breathing is comfortable only at rest","Yes, severe symptoms - breathing is difficult even at rest","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Current_Symptoms","What are your current symptoms? (Please tick all that apply)","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020100000","","","","","loss of smell/taste","unusually hoarse voice","unusual chest pain or tightness in your chest","unusual abdominal pain","diarrhoea","headache","confusion, disorientation or drowsiness","unusual eye-soreness or discomfort (e.g. light sensitivity, excessive tears, or pink/red eye),skipping meals,dizziness or light-headedness,sore throat,unusual strong muscle pains,earache or ringing in your ears (tinnitus),raised, red, itchy welts on the skin or sudden swelling of the face or lips,red/purple sores or blisters on your feet, including your toes,no symptoms,other"
"PX992020_Long_Covid_Symptoms_Pediatric_Current_Symptoms_Other","What are your current symptoms? (Please tick all that apply) Are there other important symptoms you want to share with us?","DCW_992020.doc","string","","","","","ASK IF \"What are your current symptoms? (Please tick all that apply)\" = \"Other\"","","PhenX","PX992020100100","","","","","","","","","","","",",,,,,,,,,"
"PX992020_Long_Covid_Symptoms_Pediatric_Start_Period_Longer_Week_No_Symptom","Since the start of your COVID-19 symptoms, have you had a period longer than one week with none of the above symptoms at all (where you were back to how you were pre-COVID)","DCW_992020.doc","enumerated","","","","","","","PhenX","PX992020110000","","","","","Yes (I have had a period of one week or more since my test with none of the above symptoms)","No (My symptoms have been continuous since Covid test)","Not applicable","","","","",",,,,,,,,,"
